stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.9,9.27,0.94,0,0.81,0,0,0,0,0,3.27,0,0,0,0,0,0,0,3.1,0,0,4.08,18.97,0,0,0.88,0.87,0,0.89,0,0.85,4.27,21.49,0,0,0,0,0
 24-34,0,2.14,0,2.51,0,0,12.3,0,0.82,0,5.07,0,0,0,0,0,0,0,0,0,17.03,2.07,0,5.25,146.02,0.6,0,1.42,0,0,5.63,0,21.64,0,53.31,0,0,0,0,0
 36-46,0,0,0,14.88,0,0,11.9,0,0.63,0.57,11.95,0,0,0,0,1.48,0,0,0,0,7.24,0,0,4.48,271.45,0.59,2.87,0,0,0,4.46,0.81,11.8,0,67.75,0,0,0.69,0,0
 48-58,0,0,0,2.89,0,0,65.4,1.6,1.71,0.81,25.05,0,0,0,0,0,0,1.04,0,0.41,23.85,2.17,0,9.85,202.29,0,2.74,3.5,0,0,3.27,0,11.87,0,58.22,0,0,7.9,0,1.8
 60-70,0,0.62,0,1,0,0,55.64,0,0.99,2.45,29.53,0,0,0,0.61,0,0,2.56,0,0,14.73,0,0,10.26,202.14,2.55,1.22,0,0,0,3.16,0,1.33,0,30.64,0,0,0.6,0,0
 72-82,0,0,0,1.28,0,0,54.17,0,0,0.58,9.42,0.71,0,0,0,1.13,0,1.07,0.79,0,24.44,0,0.67,1.81,235.08,0,2.31,1.14,0,0,6.93,0,9.39,0,15.51,0,0,1.79,0,0
 84-94,0,1.11,0,8.14,1.47,0,75.78,0,0.57,1.27,7.91,5.3,0,0,1.56,0,1.13,0.81,0,0,11.41,2.88,5.39,5.67,144.93,0,0,0,0,0,15.26,0,22.36,0,14.15,0,0,7.5,6.45,0
 96-106,0,0,0,7.96,0,0.77,26.38,3.99,3.98,0,9.96,4.27,0,1,2.02,2.24,0,0.75,4.79,0,23.06,0,0,0,86.64,0,2.05,0,0,0,65.24,0,8.55,0,3.85,0.8,0.88,5.08,1.52,0
108-118,0,0,0,3.1,0.66,4.67,40.05,0,3.02,0,7.01,0.93,0,0.61,0.94,2.1,0,1.74,0,0,5.29,0,0.49,3.78,91,0,1.06,1.37,0,1.02,18.91,0,15.93,0,0,0,0,2.25,0.96,0
120,0,0,0,1.31,0,0,20.96,0,0,0,16.76,1.02,0,0,0,0,0,1.11,0,0,6.09,0,0,0,63.64,0,1.26,0,0,0,34.26,0,8.02,0,0,0,0,0,0,0
