stage,blastomeres,eye,neural,paraxial_mesoderm,somites
  3-4,10.41,0,0,0,0
  7-9,0,0,0,3.6,0
 14-21,0,0,0,0,0.87
 48-58,0,0,0.55,0,0
 72-82,0,0,4.06,0,0
 84-94,0,2.38,0,0,0
108-118,0,0,4.64,0,0
