stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.54,4.46,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.24,0,0,0,0,0,0,14.11,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,1.19,0,0,0,77.13,0,3.32,0,0,0,0,75.11,0,0,0,0,0
 36-46,0,0,0,0,0,1.49,0,0,0,0,0,3.12,0,0,1.44,0,0,0,0,0,294.25,0,1.12,0.93,0,0,0,133.18,0,0,1.22,0,0
 48-58,0,0,0,1.61,0,15.44,0,0,7.4,0,0,0,0,0,0.98,0,13.31,0.42,4.39,0.85,895.99,0,0,0,0,0,0,115.34,0,0,1.45,0,0
 60-70,0,0,0,4.37,0,118.81,0,0,28,0,0.93,0,0,0,1.43,0,19.97,0,0,6.16,1637.23,0,2.74,0,0,0,0,223.33,0,5.08,0,0,0
 72-82,0,0.54,0,16.93,0,533.61,0,0.56,24.96,0,0,1.08,0,0,1.67,0,23.94,0,1.68,2.54,2203.64,0,3.52,3.72,2.36,2.19,0,225.41,0,12.48,0,0,0
 84-94,0,0,0,23.42,0,421.03,3.82,0,22.73,0.71,0,0,0,0,2.3,0,11.1,0,6.28,3.37,1411.73,0,1.81,0,0,1.59,0,130.89,0,8.89,0,0,0
 96-106,0,1.72,0,11.11,2.06,703.62,1.74,1.21,52.72,0,0,1.82,0,0,3.49,6.02,23.28,0,5.85,3.45,1515.04,0,0,0.92,1.04,6.71,2.06,80.28,0,0,0,3.52,10.33
108-118,0,0,0,34.08,1.09,794.41,0,0,55.78,0,0,1.24,1.59,1.01,3.7,1.32,33.96,1.96,12.86,0,1803.56,0,5.6,0,0,0.44,0,85.92,0.43,2.73,0.84,0,0.6
120,0,0,0,24.25,2.59,571.93,14.64,0,9.12,0,0,0,0,0,3.95,0,22.12,0,2.58,0,2105.45,0,1.26,0,0,5.22,0,87.99,0,0,4.29,0,0
