stage,blastomeres,eye,glial,gut,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,pericytes,pronephros,spinal_cord,visceral_smooth_muscle
  3-4,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,27.19,0,0,0,0,0,0
 10-12,4.29,0,0,0,0,0,0,0,0,30.36,0,10.11,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.8,0,0,0,2.31,0,0
 24-34,0,0,0,0,0,0,0,0.74,0,0.93,0,0,0,0,0,0
 36-46,0,0,0.98,0,0,0,0,0.8,0.84,4.58,0,0,0,0,0.58,0
 48-58,0,0.48,0,0,0,0,0,2.6,0,5.76,0,0,0,0,2.42,0
 60-70,0,8.74,1.03,0,0,0,0,6.21,0,6.59,0,0,1.13,0,2.56,0
 72-82,0,0,0,0,0,0,0,2.65,0,1.83,0,0,0,0,0.87,0
 84-94,0,0.93,0.74,0,0.62,0.89,0.73,0.64,0,0.92,0.56,0,0,0,0,0
 96-106,0,1.36,1.55,1.06,0,0,0,2.1,1.03,3.74,0.6,0,0,0,0,0
108-118,0,0,1.04,0,0,0,0,0.78,0,2.93,0,0,1.06,0,0,0.73
120,0,0,0,0,0,0,0,3.17,0,0,0,0,0,0,0,0
