stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.45,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.58,0,0,0,4.93,0,0,0,0,0,0,0,0,0,26.2,0,0,0,4.49,0,68.62,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.08,0,0,0,14.76,0,9.43,0,7.42,0,0,0,0,0,0,0
 14-21,0,1.11,9.36,30.18,6.41,1.25,0,0,2.94,0,0,0,0,0,0,11.86,0,0,3,22.21,13.61,1.74,0,0,0,137.41,0.92,46.24,1.11,9.99,0,0,6.73,0,1.92
 24-34,0,0,3.97,2.59,0,1.99,0,0,0.66,0,0,11.19,0,0,0,27.79,0,0,6.7,52.9,0.83,1.66,0.61,0,0,84.34,0,12.69,0,6.09,0,0,39.86,0,0
 36-46,0,0,0,0,0,2.46,0,0,0,0,2.81,35.85,0.71,0,1.74,36.92,0,2.29,14.99,83.98,0,1.38,0,0,0,85.16,0,14.64,0,10.8,0,0,33.07,0,0
 48-58,0,0,0,12.78,0,13.18,2.55,1.1,0,0,0,16.82,0.41,0,2.39,27.53,1.17,2.01,3.2,112.45,0,0.5,0,0,0,56.88,0,6.98,0,16.48,0,0,14.34,0.65,0
 60-70,0,0,0,0.84,0,41.62,2.98,4.16,6.85,0,0.9,54.47,0,0,0,50.24,0.85,1.02,2.02,162.57,0,1,0,0,1.42,46.51,0,2.56,0,25.32,0,1.31,52.33,6.99,0
 72-82,0,0,0,5.66,0,30.27,2.35,7.71,2.52,0,8.78,30.04,0.63,6.06,0,60.37,0,8,1.17,258.68,0.89,0,0,0,2.69,35.66,0,12.87,0,20.69,0.97,3.24,18.02,18.29,0
 84-94,0,0,0,24.69,0,12.72,1.75,8.74,3.53,0,13.63,19.23,4.45,11.64,0,52.63,7.39,4.71,2.09,178.12,0,1.67,2.31,0,4.58,77.81,0,6.31,0,8.48,3.69,1.11,19.16,14.64,4.35
 96-106,0,1.66,0,34.87,6.07,47.26,0,18.1,5.57,0,14.44,21.14,6.69,17.65,0,54.03,1.5,10.88,0,255.86,0,4.58,0,0,26.98,131.01,0,22.18,0,9.64,0,8.17,14.28,29.19,0
108-118,0,0,0,29.39,0.72,9.88,10.13,8.18,9.83,0,10.39,27.59,6.06,7.86,0,41.86,0,5.07,0,297.5,0,0.89,0,0,10.51,106.57,0,5.42,0,5.35,0.54,7.93,24.91,19,0
120,0,0,0,32.93,0,6.29,0,11.56,2.62,0,15.15,33.54,0,1.76,1.57,36.45,1.1,43.19,1.51,286.91,0,0,4.8,0,0,48.44,0,14.62,0,3.55,0,4.53,4.3,3.74,0
