stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,16.11,248.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.47,135.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,25.54,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.97,0,0,63.24,0,0,0,0,0,0,0,0
 10-12,0,21.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.63,0,0,112.03,0,0,31.64,0,0,0,0,0
 14-21,0,0,0,0,0,4.29,0.99,0,0,0.85,0.81,0,0,0,0,0,0,1.85,0,1.27,5.35,0,0,2.11,0,33.68,0,1.35,1.05,0,0,1.85
 24-34,0,0,0,0,0,0,0.72,0,0,0,0.77,0,0,1.94,0,0,2.69,0.72,0,0,22.71,0,0,0,4.44,0,0,0,0,4.88,0.86,19.54
 36-46,0,0,0,0,0,0,5.8,0,0,4.31,0,0,0,0,0,0,0,0.58,0,0,48.08,0,0,0,0,0,0,0,0,12.47,0,7.37
 48-58,0,0,0,0,4.18,0,1.04,0,0,3.11,0,0,7.39,0.98,1.05,0,0,3.63,0,0,98.76,0.47,0,0,4.89,0,0,0,0,6.87,0,16.56
 60-70,0,0,0,0,2.05,0.62,18.81,0.68,2.01,0,0,0,0,0,0,0,0,5.3,0,0,135.61,0,0,0,2.04,0,0,0,0,4.03,0.84,0
 72-82,0,0,0.83,0.75,0,6.04,39.92,0,1.9,3.15,1.34,0,0,0,0,0,0,11.12,4.81,1.95,261.2,0,0,0,0,0,0,0,0,7.9,0,15.35
 84-94,0,0,0,1.04,0,0,45.4,0,0,0,2.17,0,0,0,0,0,0,0,0,0,128.32,0,0,0,0,0,0,0,0,0,0.58,0
 96-106,0,0,0,0,0,8.03,47.56,0,0,2.82,0,0,0,0,0,9.42,0,8.77,0,0,137.55,0,0,0,0,0,0,0,0,1.96,0,0
108-118,0,0,0,0,4.11,0,39.19,0,0,10.2,0,0.42,0,0,0,0,0,1.63,0,0,108.97,0,0,0,0.57,0,0,0.6,0,8.94,13.35,1.56
120,0,0,0,0,1.31,0,32.53,0,0,2.12,9.82,0,0,0,0,0,0,16.75,0,0,202.48,0,1.28,0,1.01,0,0,0,0,7.12,0,0
