stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,16.8,138.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05,5.5,0,0,6.48,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,1.41,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0
 24-34,0,0,0,2.84,0,0,0,0,0,0,0,0,0,0,3,0,0,0,23.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,2.92,0,0,0,22.04,0,0,0,0,0,0,0.62,0,0,0.92,0,0,0,0
 48-58,0,0,0,0,0,13.4,0,0.37,0,0,0,0,0,0,2.96,0,0,0.42,118.49,0,0,0,0,0,0,0,1.03,0,7.21,0,0,0.47,0
 60-70,0,0,0,5.11,0,76.65,2.07,0,0,0,0,0,0,0,4.52,0,0,0,244.22,0,0,0,0,0,0,0,0,0,9.06,0,0,0,0
 72-82,0,0,0,2.27,5.75,125.85,0,16.64,0,0,0,0,0,0,21.31,0,0,0,673.16,0,0,0.54,0,4.65,3.9,0.64,0,0,11.23,0,0,0,0
 84-94,0,0,0,2.32,0,81.21,0,13.76,2.03,0.97,3.73,6.24,0.76,0,16.26,0,4.3,0.57,481.63,0,0,1.85,0,5.27,3.87,0,0,0,4.11,0,1.37,0,0
 96-106,0,0,0,1.98,0,97.05,0,14.63,0,4.44,0.79,0,0,0.6,20.16,0,0,0,535.16,0,0.57,0,0,0,1.78,0.82,0,0,2.06,0,0,4.15,0
108-118,0,0,0,3.37,2.05,71.36,0.95,7.54,1.31,2.59,0.47,0,1.31,0.89,25.77,0,1.95,0,467.38,0,0,0,0,0,0.73,0,0,0,1.94,0.89,1.16,9.4,7.11
120,0,0,0,24.48,0,102.95,0,25.07,0,0,5.72,0,0,0,8.6,1.49,6.75,0,1293.19,0,0,0,0,0,20.04,0,0,0,29.28,0,0,0,0
