stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.08,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.63,5.62,0,1.18,0,0,0,1.26,0,0,1.27,0,0,0,0,0.99,12.05,0,0,6.88,18.64,8.47,0,0.98,0,0,7.69,6.37,0.85,9.3,21.38,11.71,0,0,9.97,0,0
 24-34,0,0,1.34,0,0.66,0,6.47,20.43,0.72,0,1.34,0,1.31,6.5,0,0,0.62,0,14.56,103.61,0,0,44.5,111,5.91,0,1.06,0,0.99,138.87,0,0.94,46.53,40.32,15.89,0,0,33.52,0,11.23
 36-46,0,0,0,0.6,6.7,0,6.06,67.58,8.54,1.49,2.86,0,13.59,2.34,0,0,0,8.48,77.52,169.37,0,7.6,56.65,102.44,8.03,0.6,6.48,0,8.6,272.82,0,0.58,78.73,7.98,11.37,0,4.35,26.82,0,49.52
 48-58,0,0,0,7.95,0,0,33.22,40.56,2.11,2.43,29.58,0.69,14.44,3.3,0.46,0,0,1.02,82.63,346.8,0,28.99,54.3,112.09,7.44,0,0,0,1.24,182,0,0,52.62,0,41.73,0,2.89,52.79,0.48,127.4
 60-70,0,0,0,6.35,0,0,19.44,33.38,8.76,0.77,139.64,0.75,17.35,3.69,0,11.25,0,0,45.67,642.38,1.67,58.36,36.48,78.95,17.48,0,1.29,0,0,203.94,0,0,12.89,0,33.09,0,19.43,69.22,2.6,98.98
 72-82,0,0,0,10.18,1.11,0,60.97,27.88,6.16,3.35,291.3,0.84,41.85,1.91,0.53,3.2,6.29,0,29.16,979.33,0,84.72,55.04,90.82,2.47,0.67,2.2,1.13,23.86,118.17,0,0,21.31,0,42.07,0.78,41.39,123.64,30.47,83.14
 84-94,0,0,0,9.91,0,0,63.67,33.15,8.63,8.89,327.19,0,55.49,11.04,4.31,40.94,0,2.88,83.84,831.18,1.53,121.48,66.25,62.18,3.8,0,2.31,0,3.5,497.83,0,0.74,13.67,0,43.81,1.04,44.07,154.9,42.49,78.59
 96-106,0,0,0,24.96,4,0,49.11,63.69,12.1,16.35,266.54,0.83,60.15,11.49,1.97,7.59,0,13.75,30.05,836.68,3.64,88.09,62.72,170.47,2.22,0.69,4.4,1.2,29.19,264.58,0,0.71,19.8,0,44.73,0.56,60.21,143.06,41.77,46.12
108-118,0,0,0,13.54,1.75,2.65,68.75,47.79,18.75,10.92,375.59,1.52,38.15,7.22,3.68,52.23,0,10.19,77.23,955.37,5.1,118.73,79.36,108.36,7.08,0,1.53,0,29.31,315.66,0,1.37,19.06,0,33.15,1.02,47.46,223.22,32.91,38.16
120,0,0,0,49.36,7.46,0,59.47,97.92,3.73,6.71,336.43,1.33,52.57,19.54,0,18.24,0,0,22.09,933.76,4.33,83.03,89.23,71.41,3.96,0,0,0,26.36,148.98,2.24,0,13.26,0,54.46,0,54.94,189.48,49.19,15.72
