stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.59,194.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0,0,0,0
  5-6,7.12,161.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.51,0,0,0,21.94,0,0,0,0,7.59,0,0,0,0,0,0,0,0,0,0,98.14,7.64,0,0,54.96,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.4,0,3.04,0,0,0,0,0,0,0,0,6.06,0,0,0,0,0,0,0,0,0,0,36.95,3.16,0,0,49.86,0,0,6.12,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.79,0,0,0.9,0,0,0,0,1.02,0,0,0,0,0,0,0.86,0,0,2.32,16.89,0,0,0,0,0,0,1.09,0,0,1.16,5.65,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,1.38,0,6.46,0,0,0,44.18,0.9,3.7,1,0,0,1.14,0,0,0,0,7.22,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,16.21,0,0,1.03,0,0,0,0,0,0,0,1.49,3.23,0,0,2.52,88.23,0,1.52,0,0,0,6.24,0,0,0,0,10.21,0,0,1.04,0,0.73
 48-58,0,0,0,0,3.17,0.53,0,34.23,0,0,6.61,0,0,0,0,0,0,0.63,0.58,12.56,0.94,0,0.51,109.84,0,1.33,0,0,0,1.53,0,0,0,0,21.62,0,0,1.49,0,0
 60-70,0,0,0,0,0,0,0,80.78,0,0,14.4,0,0,0,0,1.62,0.63,0,0,17.02,0,0,0,88.08,0,4.84,0,0,0,1.01,0,0,0,0,25.46,0,0,0.67,0,0
 72-82,0,0,0.71,0,1.21,6.32,0,46.69,0,0.83,10.9,0,0,0,0,0,0,0,0,23.88,0.67,0.7,0,110.88,0.51,0,2.73,0,1.05,1.09,0,0,0,0,11.08,0,0,4.22,4.01,0
 84-94,0,0,0,0,2.3,11.74,0,22.54,0,0,8.45,0,0,1.03,0,0,0.73,0,0,16.93,0,0,0,52.53,0,0,0.62,0,0,11.4,0,0.58,0,0,8.48,0.9,1.23,1.16,0,0
 96-106,0,0,0,0,3.29,28.98,1.07,28.45,0,0.81,10.85,0,0,0,0,0,0,0,0,15.26,1.66,0,0,34.89,0,0.6,0,1.2,0,4.88,0,0,0,0,0,0.61,1.98,1.81,0,0
108-118,0,0,1,0,12.4,11.92,1.51,31.16,0.43,2.6,12.4,0.52,0,1.08,0.47,0,0,0,0.64,27.58,0.71,0,0,84.78,1.07,0.53,0.66,0,0,5.13,0,0,0.55,0,2.86,0,0,0.54,0,1.25
120,0,0,0,0,2.2,0,0,48.23,0,0,14.34,12.57,0,6.17,2.26,1.18,0,0,0,18.66,0,3.17,4.84,182.3,0,0,0,0,0,11.13,0,0,0,0,19.53,0,0,3.29,9,0
