stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,47.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.66,0,0,0,6.74,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,18.59,0,0,0,1,0,0,0,2.29,0,0,0,0,0,0,5.86,0,0,1.4,4.3,0,5.23,0.93,0,0,0,0,1.23,1.85,0,0,0,0,0
 24-34,0,0,0,280.31,0.87,0,2.11,23.65,0.72,1.11,0,0,0,0,1.1,0,6.39,0,0.9,1.58,2.45,2.21,59.51,0,0,3.05,0,0,2.39,1.08,0.93,3.58,0,0,0,0,0
 36-46,0,0,0,460.89,0,0,11.23,118.72,0,2.58,0,0,0,0,4.99,0,6.25,0,18.9,3.15,20.7,3.4,60.29,6.37,2.11,0.63,0,0,2.86,0,1.05,7.96,0,0,0,0,0
 48-58,0,0,0,491.5,0.69,0,14.85,171.28,2.77,5.27,0,0,0,0,0,0,3.14,0,29.07,1.6,47.79,6.04,78.04,0,0.73,0,0,0.56,2.59,0,0,8.8,0,0.44,0,0,4.12
 60-70,0,0,0,398.57,0,0,89.72,144.86,0.84,10.55,0,0,0,0,0,0,6.1,0,57.47,2.57,82.97,19.59,58.56,0,0,2.81,0,11.72,0,0.57,0,7.85,0,12.79,0,1.89,0
 72-82,0,0,0,269.75,0.6,0,88.13,141.7,5.88,21.28,0,0,0.53,0,0.53,5.12,16.8,0,102.22,3.5,72.56,30.66,73.84,0,0.76,4.53,0,4.01,3.36,0,0.72,8.81,0,27.19,0,14.71,5.43
 84-94,0,0,0,465.55,1.78,0,91.25,224.59,0,14.93,0,0,0,0,0.61,0,9.38,0,87.05,0.57,114.44,21.63,52.04,0,0,0,0,2.16,1.44,0,0,5.8,3.41,16.43,0,7.48,0
 96-106,0,0,1.08,447.89,9.01,0.97,91.93,192.32,4.27,44.99,0,0,2.94,1.29,6.86,0,5.15,1.46,128.59,5.58,61.28,30.19,61.63,0,0.59,7.84,0,0,4.91,0,0,10.77,0,3.21,0,5.39,0
108-118,0,0,0,592.42,0.98,0,141.76,272.92,0,28.24,1.03,0,1.03,0,1.31,0,3.56,2.58,170.36,2.12,78.56,10.58,57.29,0,0.45,14.31,0,3.87,5.52,0,0,4,0,5.29,2.41,2.31,0
120,0,0,0,578.38,0,0,157.79,207.69,0,51.93,1.19,0,0,0,2.81,0,3.68,0,305.09,5.18,111.17,21.66,99.72,0,1.62,3.9,0,0,2.83,0,0,29.7,0,24.32,0,5.18,0
