stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,otic,pericytes,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,19.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.78,0,0,0,0,0,0,0
 10-12,0,7.73,0,0,0,0,0,0,0,0,0,0,0,0,0,7.65,0,0,0,0,0,0,0
 14-21,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,4.23,0,0
 24-34,0,0,3.87,0,0,0,0,0,1.9,0,0,0,0,0,0.8,6.36,0,11.98,0,0,1.48,0,0
 36-46,0,0,1.8,0,0,0,0,0,2.87,0,0,12.91,0,0,0,6.54,0,0,0,0,1.72,0,0
 48-58,0,0,9.73,0,0.57,0,0,0,0.44,0,0,10.72,0,1.1,0,21.37,0.64,0,0,0,3.14,0,0
 60-70,0,0,2.91,0,10.14,0,1.61,0,0,1.12,0,17.07,0,0.89,0,5.56,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,28.56,0,3.06,0,0,1.18,0,23.82,0,17.14,1.56,9.13,0,12.21,0,0,0,0.59,0
 84-94,0,0,2.8,0,25.98,0.62,2.83,0.66,0,17.59,0,15.88,0,13.32,0,8.03,0,0,0,0,0,2.66,0
 96-106,0,0,14.33,0.89,22.48,0,8.37,1.54,4.76,15.49,3.85,26.87,0,15.29,0,28.56,0,2.62,0.88,0,0,0,2.77
108-118,0,0,34.36,0,5.87,3.73,11.81,53.97,0,28.16,0,51.01,1.12,30.66,0,23.41,0,0,0,0,1.77,0.8,7.86
120,0,0,8.54,0,24.09,0,4.23,119.94,0,14.7,0,13.8,0,17.18,0,47.19,0,0,0,0,0,0,0
