stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,160.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.24,470.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.45,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.95,0,0,8.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.94,4.03,0,0,21.38,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,16.89,0,0,0,0,0,0,0,0,15.39,0,0,0,0,0,0,0,0,0,0,76.9,0,0,0,19.04,0,0,0,0,9.66,0,0,0,0
 14-21,0,0,0,0,69.86,4.25,62.35,0,0,0,0,0.82,0,88.49,0,0,0,0,2.42,0,132.79,0,35.46,62.83,7.08,0,0,1.41,0,0.9,5.24,0.82,5.02,18.83,0,0,0
 24-34,0,0,1.1,1.34,165.31,28.18,145.06,0,0,1.86,13.62,0.59,0,139.24,0,0,0,0,0,0,308.06,0,48.53,169.15,5.86,4.49,1.29,0,3.61,0,0,5.89,0.68,12.71,0,0,1
 36-46,0,0,0,0,116.59,7.21,67.8,0,2.04,8.57,1.41,1.33,0,51.32,0,0,0,0,0,0,220.14,12.1,21.82,97.35,1.05,47.98,0.83,0,4.09,0.91,0,11.41,0,7.48,0,0,0
 48-58,0,0,0,0,53.49,8.25,112.46,0,0.91,32.05,3.78,0,0,20.44,0,1.51,0,0,0.41,0,237.14,11.97,38.91,83.01,0.42,6.08,0,0,9.09,0,0,3.2,0,31.05,0,0,3
 60-70,0,0,0.62,0,5.36,2.09,70.78,1.59,0,22.83,0,1.51,0,18.76,0,0,1.15,0,0,0,128.48,1.81,0.8,70.91,0,12.01,0,0,1,0,0,3.9,0,6.3,0.68,0.81,5.11
 72-82,0,0,0,0,0,8.12,40.68,0,0,12.15,1.36,0,0,0,0,0,0,0,0,0,47.22,2.36,1.72,39.99,0,13.09,0.79,0,1.04,0,0,1.89,0,0.64,1.04,1.05,0
 84-94,0,0,0,0,1.26,5.15,43.2,0,0,14.78,0,0.8,0,0,0.56,0,0,0.69,0,0,54.89,1.17,2.55,51.16,0,12.31,0,0,4.32,0,0,2.2,0,4.02,0,0,0
 96-106,0,0,0,0,0,15.05,41.67,0,0.69,6.1,4.01,0,0,0,0.75,0,0,0,0,0,52.69,0,0,36.32,0.8,51.86,1.4,0,1.29,0,0,0.78,0,3.97,0,0,1.29
108-118,0,0,0,0,4.17,15.07,32.35,0,0,12.03,17.1,0,0,0,1.61,0,0,0,0,1.67,107.51,1.62,3.08,41.9,0,33.89,1.34,0,3.22,0,0,0.7,0,0,0,0,3.46
120,0,0,0,0,0,3.02,22.62,0,0,6.89,0,0,0,0,1.19,0,0,0,0,0,116.3,0,0,55.14,0,47.05,0,0,0,0,0,3.97,0,0,1.41,0,0
