stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,89.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1284.65,0,0,0,0,0,0,0,0
  5-6,10.19,88.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1640.12,0,0,0,0,0,0,0,0
  7-9,0,13.76,0,0,0,0,0,14.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.3,0,0,0,14.07,0,267.88,0,0,0,0,0,0,0,0
 10-12,0,4.79,0,5.85,0,0,0,10.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2720.8,20.86,0,0,66.03,0,55.83,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1087.18,2.26,0,2.07,0,0,0,0,0,1.18,0,10.73,3.28,0,0,0.94,1.14,0,0,16,0,0,0,0.94,0,14.49,1.44,0,6.32,0,0,0,0,0
 24-34,0,0,0,0,510.24,0.69,0,19.04,0,38.22,0,0,0,0,0,27.91,0,0,0,11.44,6.53,0,1.42,37.95,0,6.04,0,0,0,18.7,0,0,7.46,0,0,2.7,0,0
 36-46,0,0,0,0,202.27,0,0,23.92,0,58.93,1.09,0,0,0,0,22.6,0,0,0,11.73,0.86,2.29,0,52.68,0,9.46,0,0,0,32.57,0,0,0,0,0,6.93,0,8.51
 48-58,0,0,0,0,167.81,0,0,11.99,0,65.52,9.23,1.11,0.38,0,0,12.44,0,0.51,0,5.97,0.38,1.64,0,41.09,0,16.78,0,0,0.4,22.02,0,0.62,1.24,0,0,0.38,0,6.77
 60-70,0,0,0,0,170.65,0,0,21.4,0,51.05,1.21,0,0,0,0,28.78,0.62,0,0,13.26,2.28,1.49,1.15,14.98,0,12.09,0,0,0,17.28,0,0,1.94,0,0,2.4,0.71,0
 72-82,0,0,0,0,111.67,0,0,13.92,0,73.68,0,1.81,0.56,0,0,20.86,0.9,0.65,0.68,18.7,0,1.69,1.09,34.77,0,38.89,0,0,1.67,22.62,0,0,7.64,1.72,0,1.91,8.08,0
 84-94,0,0,3.07,0,273.62,0,0,18.07,0,101.92,1.46,0,2.18,0,0,54.07,5.27,0.62,1.11,11.38,0.62,1.86,0,32.66,0,37.24,0,0,0,84.81,0,0,0,3.54,0.88,2.13,8.69,0
 96-106,0,0,1.11,0,260.43,3.93,1.23,12.15,1.95,87.28,1.01,1.04,3.72,0,0,44.55,1.84,1.03,0.84,22.7,10.16,1.37,0,51.87,0,46.99,1.54,0,0,64,0,0,0,3.5,6.29,2.1,6.73,0
108-118,0,0,0.64,0,308.83,2.42,0,8.91,0,114.49,1.26,2.01,9.12,0,0.61,56.43,5.86,0,0,28.43,10.69,7.12,0.56,59.41,0,31.09,1.62,0,1.06,45.88,0,0.54,0,4.19,0,3.06,4.61,0
120,0,0,0,0,267.41,0,0,22.9,0,124.73,0,0,3.57,5.2,2.09,81.26,0,0,0,23.76,1.13,22.19,6.08,46.67,0,34.43,0,0,0,53.03,0,2.39,15.93,9.13,0,7.26,8.46,0
