stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,99.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.14,0,0,0,0,0,0,0,0,0
  5-6,128.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.33,14.34,0,0,14.75,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.82,0,0,0,9.79,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.18,9.39,8.23,0,6.14,0,0,0,0,0,0,0,0,0,0,0,1.31,14.62,0,0,2.75,75.81,1.03,0,16.5,0,0,32.82,0,0,0,12,0,0,3.34,0,0.84
 24-34,0,0,0.62,23.14,2.5,0,18.62,0,0,0.68,18.28,0,1.77,2.63,1.1,0.64,2.22,0,4.2,70.55,0,0.69,19.14,187.18,3.57,3.95,19.59,0,0,26.27,0,11.46,2.56,63.68,0,0,45.45,0,6.01
 36-46,0,0,0,10.58,0.6,0,16.46,0,5.82,1.83,62.55,0,0,2.98,0,1.95,2.91,1.74,0,106.2,0,0,28.62,248.71,4.59,0,14.9,0,0,28.42,0,0,0,95.11,0,0,56.7,0,7.28
 48-58,0,0,1.75,9.56,0,0,66.69,0,0.45,1.78,75.41,0,0.66,7.67,0,0,0.89,0,0,182.58,0,2.4,29.02,191.18,3.67,1.91,11.55,0,1.04,20.79,0,0,0,94.49,0,1.43,40.02,0,5.5
 60-70,0,0,0,4.13,4.44,0,100.05,0,0,8.64,78.39,0,0,15.22,0,0,1.82,0,0,249.94,0,12.68,22.45,260.7,3,0.7,10.11,0,13.17,8.19,1.88,0,0,53.97,0,10.1,32.67,1.15,0.7
 72-82,0,0,0,14.43,5.75,0,126.75,0,1.56,8.12,121.9,0,2.92,3.58,0,0,0.67,0,0,275.69,0,23.8,25.76,210.24,8.59,2.98,27.57,0,20.42,5.44,0,0,0,49.34,0,9.34,69.65,3.58,12.44
 84-94,0,2.22,0,12.3,4.75,0,103.09,0,0.74,7.36,57.41,0,4.2,2.17,2.18,2.38,0.81,0,0,295.8,1.6,17.05,21.92,170.37,3.83,6.67,28.47,0,6.73,12.91,2.8,0,0,26.72,1.34,2.91,35.8,5.06,2.04
 96-106,0,0,0,19.11,13.05,0,87.78,1.64,0.58,10.05,97.65,3.2,5.2,7.62,2.21,1.94,2.73,6.97,7.1,165.88,5.46,2.42,13.38,127.93,2.92,3.36,24.91,0,26.59,13.71,0,0,0,11.38,0,7.7,48.53,6.82,0.8
108-118,0,1.18,0,23.42,0,2.54,72.51,0.46,0.47,10.98,90.74,0.98,1.98,11.48,4.21,4.22,2.57,0.48,4.3,245.13,0,8.29,19.32,177.79,12.36,1.89,53.8,0,45.59,9.86,0,0,0,0,0,4.64,70.09,7.23,6.85
120,0,0,0,40.48,0,2.35,110.73,0,17.06,6.71,177.3,2.56,1.17,12.67,3.36,13.55,7.44,0,0,281.57,0,21.33,21.99,216.24,8.31,0,25.7,0,114.71,3.66,0,0,0,12.16,0,6.77,86.91,2.66,7.16
