stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,44.61,1166.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.9,0,0,0,0,0,0,0,0,0,0,0
  5-6,87.53,4781.75,0,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,262.04,0,0,0,25.19,0,21.89,0,0,0,0,0,0,0,0,0,0,0
  7-9,83.18,520.92,933.17,0,41.78,0,278.37,0,0,0,0,0,105.27,0,0,0,0,0,0,0,0,0,16311.64,69.11,0,0,1060.06,0,8.79,8.6,0,0,0,0,0,0,0,0,0,0
 10-12,0,834.32,487.74,0,89.2,0,43.56,0,0,0,0,0,5.86,0,0,0,0,3.73,0,0,0,0,27594.83,1922.46,0,0,848.81,0,0,12.11,3.96,113.28,0,6.05,12.56,0,0,0,0,0
 14-21,0,0,2.59,100.72,8.19,0,22.05,0,0,0,251.62,0,3.77,0,0,0,0,0,0,30.28,0,31.05,6005.45,1640.34,0,63.28,3.3,0,2.13,0,4.91,38.67,0,29.4,2211,0,0,0,0,0
 24-34,0,0,0,13.87,0.61,0,6.57,0,1.31,0,154.35,0,4.28,0,0,11.37,0,0,0,17.22,0,9.32,3586.09,143.42,0.94,49.41,0,0,2.87,0,0,0,2,4.43,806.27,0,0,9.5,0,0
 36-46,0,0,0,16.81,1.77,0,9.7,0,0,0.62,147.21,0,0,0,0,11.69,1.13,0,0.86,82.83,0,0,2518.3,5.14,0,4.17,0,8.6,2.32,0,0,0,0,0,403.17,0,0,6.66,0,0
 48-58,0.39,0,0,19.1,0.85,0,57.03,0,0,0,213.35,0,0,0,0.55,0,1.65,6.58,0,330.97,0,3.66,2346.87,1.48,3.32,7.87,0,1.5,2.84,0,0,0,0,0,200.24,0,0,1.25,0,3.29
 60-70,0,0,0,4.45,0,0,53.22,0,1.33,2.4,147.57,0,0,0.76,8.89,0,0,0,0,410.59,5.8,1.18,1623.89,1.41,0,7.37,0,1.11,12.57,0,0,0,0,0,101.6,0,1.19,0,6.47,0
 72-82,0,0,0,15.89,18.46,0,140.7,0,0.71,2.06,189.63,0.51,0,0,27.97,0,0,0,0,567.68,1.91,5.07,1642.45,0,0,7.14,0,0,0,0,0,0,3.15,0,70.5,0,0,1.19,20.62,0
 84-94,0,0,0,6.66,0,0,91.02,0,0.96,0,96.88,0,0,0,50.68,1.92,1.49,0.84,0,375.32,0,2.4,1125.07,3.1,0,6.41,0,0,0.68,0,0,0.56,0,0,50.57,0,1.64,3.32,12.1,0
 96-106,0,0,0,20.02,3.87,0,50.02,0,1.32,0,106.34,0,0,0.59,59.19,0,0,14.06,0,363.75,0,1.57,822.73,0.87,2.18,15.34,0,0.81,0.72,0,0,0,0,0,14.36,1.68,1.15,0.68,17.28,0
108-118,0,0,0,17.17,1.57,1.37,33.25,1.5,0,0,58.16,0.44,0,0,33.05,0,0.81,0,0,330.23,0,2.64,937.78,0.43,0,21.03,0,0,0.58,0,0,0,0,0,17.34,0,1.68,0,7.6,0
120,0,0,0,17.03,1.71,0,64.06,1.95,0,0,153.34,6.85,0,4.52,18.26,0,1.69,0,0,455.62,10.79,0,1233.47,1.12,0,13.17,0,0,0,0,0,0,0,0,0,0,0,0,5.18,0
