stage,axial,blastomeres,endoderm,epidermis,eye,neural,notochord,paraxial_mesoderm,spinal_cord
  3-4,0,168.23,0,0,0,0,0,0,0
  5-6,39.63,173.08,0,0,0,47.88,0,0,0
  7-9,0,0,0,0,4.9,31.67,9.37,8.28,0
 10-12,0,0,0,0,0,7.04,0,0,0
 14-21,0,0,0.9,0,0,0.91,0,0,0
 48-58,0,0,0,0,0,2.1,0,0,0.41
 96-106,0,0,0,1.65,0,0,0,0,0
