stage,eye,gut,hatching_gland,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,periderm,pronephros,spinal_cord
  7-9,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,0
 24-34,0,0,0,0,0,0,0,0,0.61,0,0,0,1.26,0.6,1.32
 36-46,0,0,0,0,0,0,0,0,0,3.03,0,0,6.42,13.57,0
 48-58,1.51,0,0.54,0,0,0,0.89,0,0,9.02,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.12,0,0,5.66,0,0.84,7.66,0,0
 72-82,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0.7
 84-94,1.74,0,0,0,0,0.61,0,0,0,6.47,0,0,0,0,0
 96-106,0,1.39,0,0,0,0.63,0,0,0,1.99,0,0,0,0.73,0
108-118,0.89,2.95,0,0,0.41,0,0,0.65,0,1.13,0,0,1.08,2.69,0
120,0,6.6,0,0,0,1.08,2.07,0,0,2.86,0,0,0,0,0
