stage,epidermis,eye,fin_mesenchyme,glial,melanocytes,mesenchyme,neural,otic,periderm,somites,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,5.67,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.83,0,0,3.19,0,0
 24-34,0,0.87,0,0,0,3.18,8.89,0,0,0,0.72,0
 36-46,0,1.51,0,0,1.49,0,4.28,0,1.21,0,1.97,0
 48-58,0,0.62,0,0.65,0,0,3.95,0,0,0,0,0
 60-70,0,3.02,0,0,0,0,6.74,2.92,0,0,0,0.63
 72-82,0,0.7,0.49,0,0,0,1.99,0,0,0,0,0
 84-94,0,0.73,0,0,0,1.53,0,0,0,0,0,0
 96-106,0,0.83,0,0,0,0,7.16,0,0,0,0,0
108-118,0,7.96,0,0,0,0,0,0,0,0,0,0
120,1.03,0,0,0,0,0,0,0,0,0,0,0
