stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,liver,mesenchyme,muscle,neural,pericytes,periderm,spinal_cord,vasculature,xanthophores
  3-4,0,25.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.63,24.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,19.58,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0
 24-34,0,0,0,0.95,1.64,0,0,0,0,0,0,0,8.32,0,0,0.69,0,5.35
 36-46,0,0,0,0,3,0,0,0,1.9,0,0,0,11.88,0.97,0,1.4,0,0
 48-58,0,0,0,0,4.52,0,0,0,0,0,0.88,0.86,4.76,0,0,0,0,0
 60-70,0,0,0,0,2.48,0,0,0,0,0,0.56,0,0,0,0,0,0.72,1.39
 72-82,0,0,0,0,1.44,0,0,0,0,0,1.26,0,1.49,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.31,0,1.6,0,0,0,0,0.62,0,0,0
 96-106,0,0,0,0,3.08,0.58,0,0,0,3.45,1.12,0,0,1.3,0,0,2.2,0
108-118,0,0,0.57,0,1.84,0.62,0,1.7,0,2.81,0,0,0.57,0,0,0,2.04,0.48
120,0,0,0,0,0,0,3.27,0,0,3.66,0,0,5,0,0,0,0,14.33
