stage,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,lateral_line,liver,mesenchyme,neural,olfactory,periderm,spinal_cord,visceral_smooth_muscle,xanthophores
 14-21,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,1.81,0.59,0,0,0,0,0,0,0,0,2.43,0,0.9,0,0
 36-46,0,0,0,0,0,0,0,0,0,30.28,0,0,0.56,0,0
 48-58,0,0,0,0.5,0,0,0,0,0,3.86,0,0,0,0,0
 60-70,0.62,0,0,14.03,0.6,0,0,0,0,12.59,0,0,0,0,0
 72-82,8.3,0,0,44.56,0,149.91,0,0,1.47,96.87,10.6,0,0,1.95,0
 84-94,39.74,0,1.79,11.03,0.65,172.96,0,0,0,91.42,15.98,0,0,0,0
 96-106,62.71,0,0,32.05,0,249.63,0.97,0,3.91,41.5,78.7,6.2,0,0,0.8
108-118,33.29,0,0,25.65,5.35,129.67,0,11.13,1.92,30.7,13.8,0,0,0,0
120,66.96,0,0,16.19,0,220.66,0,0,1.76,233.04,54.89,0,0,0,0
