stage,erythrocytes,eye,gut,liver,mesenchyme,neural,olfactory,pronephros
 24-34,0,0,0,0,0,0,78.74,0
 36-46,0,1.56,0,0,0,0,8.72,0
 48-58,0,0,0,0,0,0,51.35,0
 60-70,0,3.25,0,0,0,0.63,31.75,0
 72-82,0,0,0,0,0.97,0,8.76,0
 84-94,0,0,0,0,0,0,159.14,0
 96-106,1.8,0,0,0,0,1.14,90.49,0.62
108-118,0,0,0.61,0.65,3.66,0,29.96,0
120,0,0,0,0,0,0,13.42,0
