stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,0,0,0,3.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11,0,0,0,4.77,0,4.19,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,1.02,0,0,0,0,0,0,41.65,0,0,0,0,0,1.12,0,0,0,0,0,0,0,1.6,0,0,3.54,0,0
 36-46,0,0,1.27,0,0,5.96,0,0,0,0.65,0,0,137.62,0,0,0,0,0,27.35,0,0,0,0,0,0,0,1.54,0,0,8.97,0,0
 48-58,0,0,0,0,0,4.88,0,0,0,1.46,2.44,0,390.72,0,0.41,0,0,0,18.56,0,0,0,0,0,0,0,8.18,0,0.4,38.11,0,3.49
 60-70,0,0,1.23,0.81,0,9.72,0,0,0,0,0,0,796.09,0,0,0,15.49,0,11.09,0,0,0,0,0.69,0,0,1.58,0,0,56.35,0,0
 72-82,0,0,0.72,6.32,1.16,50.77,0,0,0.62,2.77,0,0.89,1268.38,0,0,0,15.42,0.57,50.8,0,0,0,0,1.91,0,0,6.6,0,0,119.81,0,4.63
 84-94,0,0,2.78,22.06,0,67.78,0.56,0,0,5.61,1.93,0,2190.26,0.75,0,0,19.06,0.58,36.12,0.68,0,7.16,0,7.15,0,0,0,0,0,115.28,0,0
 96-106,0,0,9.13,11.41,1.39,47.03,1.34,2.85,0,8.32,0.81,0,2722.68,1.67,1.58,1.73,29.67,2.05,68.58,0,9.77,1.98,0,14.12,0,0,0,0,9.09,195.35,5.78,0
108-118,0,0,9.57,17.68,0,18.12,1.21,0.99,0.62,5.49,2.05,0,2188.78,0,0,0,18.96,4.47,81.6,0,1.61,0,0,6.54,0,0.41,3.29,2.47,0,167.97,1.3,0
120,0,7.05,7.33,8.64,0,9.16,0,0,0,5.49,0,0,2934.14,0,0,0,31.9,0,78.81,5.73,0,0,0,0,0,0,0,0,0,210.22,0,0
