stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,17.23,81.16,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0
  5-6,0,107.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,43.45,20.19,0,0
 10-12,0,0,0,14.23,0,0,0,0,0,0,0,0,0,52.01,0,3.1,0
 14-21,0,0,0,0,1.03,0,1.15,0,0,2.01,0,0,1.44,13.37,0,22.18,2.94
 24-34,0,0,0.67,0,1.95,0,1,0,0,1.95,1.22,0,0,23.95,0,53.97,4.04
 36-46,0,0,2.21,0,7.14,0,0,0,0,0,0,0.74,0,20.68,0,53.4,0.66
 48-58,0,0,7.21,0,16.96,0,1.76,0.4,0,3.01,0,0,1.44,31.05,0,77.36,3.22
 60-70,0,0,0,0,2.52,0.84,0.63,0,0,1.92,0,0,0,24.78,0,94.28,1.14
 72-82,0,0,0,0,0,0,0,1.02,0,4.85,0.56,0,0,7.25,0,86.76,0
 84-94,0,0,0.71,0,7.24,4.41,0.71,1.16,0,1.45,0,0,0,8.32,0,202.89,0
 96-106,0,0,2.25,0,2.58,10.3,3.18,1.65,0,0.64,0,0.7,0,13.62,0,333.68,1.98
108-118,0,0,4.27,0,3.59,7.53,1.1,2.81,3.11,0,0,0,0,13.39,0,190.69,0
120,0,0,3.44,0,3.53,9.99,1.74,5.7,0,0,3.7,0,0,4.02,0,355.31,0
