stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,350.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.29,0,0,0,0,0,0,0,0
  5-6,7.08,96.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.43,0,0,0,0,17.14,0,0,0,0,0,0,0,0
  7-9,9.25,0,4.68,0,0,0,0,0,0,14.16,0,0,0,0,0,0,0,0,0,0,76.52,3.34,0,0,63.59,0,0,0,0,0,0,0,0,0
 10-12,0,5.69,5.76,0,0,67.13,0,0,0,9.07,0,0,0,0,0,0,0,0,0,0,201.71,7.26,0,0,76.6,0,3.03,0,0,3.28,0,0,0,0
 14-21,0,0,0,1.98,0.9,2.89,0,0,0,0,0,0,0,0,0,3.04,6.2,0,0,0,53.94,0,0.92,0,0,1.04,0,2.16,0,18.14,0,0,0,0
 24-34,0,0,0.82,0.98,0.62,4.46,0,0.89,0,0,0,0,0,1.38,2.14,0.72,5.07,0,0,2.57,72.27,0,0,0.75,0,0.68,0,0,0.65,10.68,0,3.51,0,0
 36-46,0,0,0,0,0,10.07,0,1.17,0,0,0,0,0,0,5.07,5.32,11.27,1.26,0,0,35.71,0,1.29,0,0,1.13,0,0,0,20.3,0,0,0,0
 48-58,0,0,0,0.86,0,24.91,0.47,0,0,0,0,0,0.42,0,0,0.39,0,0,0,1.15,20,0,0,0,0,0,0,0,0,3.19,0,0,0,0
 60-70,0,0,0,0,0,31.6,0,0,0,0,0,0,0,0,0,0,1.57,0,0,0,16.86,0,0,0,0,0,0,0,0,2.74,0,0,0,0
 72-82,0,0,0,0.53,0.88,9.27,0,1.3,0,0,1.23,0,0,0,0,0,1.74,0,0,0,8.06,0,0,0,0,0,0,0,0,0,0,0,0.68,1.17
 84-94,0,0,0,0,3.7,8.5,0,1.82,1.44,0,0,0,0,0,0,4,2.47,0,0.8,0,12.37,0,0,0,0,1.11,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.72,0,0,0,0,1.3,0,0,0,0,0,3.01,0,0,0.83,13.47,0,0,0,0,3.56,0,0,0,0,0,0,0,0
108-118,0,0,0,1.47,6.38,13.03,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,7.04,0,0.55,0,0,0.5,0,0,0,0,0.42,0,0,0
120,0,0,0,0,0,5.67,0,1.87,0,0,0,8.17,0,0,0,1.79,4.76,0,0,0,10.62,0,0,0,0,0,0,0,0,0,0,0,0,0
