stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,ionocyte,mucous,neural,paraxial_mesoderm,periderm,somites
  3-4,0,0,0,0,0,0,0,0,0,0,0,29.03,0
  5-6,28.75,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.82,4.89,3.31,0
 10-12,0,0,0,0,0,0,0,0,0,0,13.52,4.49,0
 14-21,0,0,0,0,0,1.24,0,0,0,0,0,36.14,1.21
 24-34,0,0,0,1.61,0,0,0,0,0,0,0,22.93,0
 36-46,0,0,0,0,0,0,0,0,0,1.8,0,21.83,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,5.11,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,3.11,0
 72-82,0,2.8,0,0,0,0,0,0,0,0,0,1.32,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,2.93,0
 96-106,0,0.83,2.32,2.99,1.32,1.62,0,0,0,1.51,0,3.7,0
108-118,0,3.36,0,0,1.08,1.83,0.88,0,1.27,0,0,8.36,0
120,0,0,0,0,0,0,0,1.06,0,0,0,3.06,0
