stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,11.4,0,0,0,4.06,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.69,0,0,0,0,0,0,13.1,0,0,0,15.53,0,0,0,0,0,0,0,0
 14-21,0,0,0.92,1.07,0,0,0,1.5,0,0,1.37,1.16,5.33,0,0,0,0,0,2.82,0,1.24,4.35,0,0,0
 24-34,0,0,0.62,0,0,2.24,0,0,0,0,1.28,0,8.51,0,0.95,0,0,0,0,0.72,0.65,8.07,0,0,0
 36-46,0,0,0,0,0,1.36,0,0,0,0,0.65,0.6,22.54,0,2.02,0,0,0,0,0,0,3.93,0,0,0
 48-58,0,0,0,0,0,0.69,0.5,0,0,0,0.94,0,12.79,0.51,3.08,0,0,0,0,0,0,2.51,0,0,0.72
 60-70,0,0,0,0,0,1.47,0,0,0,3.71,4.02,0,8.95,0,2.08,0,0,0,0,0,0,6.47,0,0.64,0
 72-82,0,0.56,0,0,0,10.93,0,0,0,0,5.09,0,12.35,0,6.92,0,0,0,0,0,0,2.69,0,0,0
 84-94,0,4.29,0,0,0,1.71,0,0,0,0.61,2.29,0,13.84,0,3.78,1.57,0,0,0,0,0,3.17,1.28,0,0
 96-106,0,1.37,0.6,2.06,3.47,13.47,7.58,0.69,0,0,1.7,0,5.56,0,12.11,1.09,0,4.38,0,0,0,2.25,0,0,0
108-118,0,0,0,0,0.61,10.57,4.69,0,0,0,2.95,0,19.02,0,4.68,2.16,0,0,0,0.54,0,0,0,0,0
120,0,0,0,0,0,9.74,0,0,3.86,1.37,0,0,0,0,3.57,15.67,0,0,0,0,0,1.19,0,0,0
