stage,blastomeres,epidermis,erythrocytes,fin_epithelia,glial,gut,ionocyte,mesenchyme,mucous,neural,olfactory,spinal_cord
  3-4,10.38,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,9.58,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.94,0,0
 14-21,0,0,0,0,0,0,0,0,0,6.13,0,4.79
 24-34,0,4.11,0,0,0,0,0,0,0,6.4,0,2.99
 36-46,0,0.66,0,0,0,0,0,0,0,4.65,0,1.5
 48-58,0,5.7,0,6.5,0,0,0,0.67,0,1.34,0,0
 60-70,0,8.71,0,0,2.63,0,0,0,0,0.78,0,2.25
 72-82,0,5.21,0,0,5.14,0,0.52,0,0,3.3,0,0.87
 84-94,0,13.93,0,0.55,2.75,0,1.76,0,0,0,0,1.28
 96-106,0,0.62,3.35,2.32,1.8,0,0.81,0,0.77,1.25,0.89,0
108-118,0,15.54,2.03,3.23,5.75,0.54,1.47,0,0,2.39,0,0
120,0,62.94,1.32,30.17,2.91,1.99,0,0,1.12,0,2.4,0
