stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,10.86,0,3.5,2257.02,303.88,3.35,0,21.79,0,287.64,238.93,0,0,0,4.95,0,0,0,0,318.39,9.45,0,138.39,633.32,701.28,0.84,4.28,1874.61,0,13.6,4637.74,42.42,25.57,915.83,4320.8,0,0,34.8,0,0
 24-34,0,0,0.66,183.21,8.55,20.26,0.97,68.76,3.85,150.42,46.11,1.15,0,0,1.12,4.91,0,0.66,5.58,210.08,1.79,0,161.65,246.85,42.71,0,0,0,0,13.82,1.22,4.14,18.09,184.17,1115.3,0,0,187.6,0,6.73
 36-46,0,0,0,102.05,0,16.98,27.55,45.83,17.78,55.11,7.78,0,0,0,0,0,0,0,18.72,236,4.3,5.73,131.79,380.62,18.18,0.6,0,0,0,13.71,0,0.63,19.32,1.21,1315.28,0,0,44.61,0,18.8
 48-58,0,0,0,40.54,0,43,16.32,62.08,30.82,109.35,6.75,0,0,0.47,0,2.64,0,0,17.1,210.85,2,5.65,103.11,285.52,28.2,0.48,0,0,0,48.16,0,0,8.25,0,1408.8,0,0,47.45,0,26.79
 60-70,0,0,0,55.39,0,59.84,11.31,54.79,45.54,97.5,12.44,0,0,0,0,0,0,0,5.89,226.48,0,17.18,26.77,227.3,6.59,0,1.23,0,0,15.08,1.38,2.47,6.06,0,1969.19,0,0,25.19,1.06,37.94
 72-82,0,5.05,0,24.31,7.12,57.16,1.45,15.79,42.26,121.5,33.79,0,1.41,4.76,0,2.05,1.2,6.31,22.94,227.87,1.94,15.05,49.79,189.28,7.31,0,0,0,0,14.55,0,4.52,1.61,0,1386.73,0,3.68,61.51,11.44,11.08
 84-94,0,5.67,0,55.14,0,96.84,0,46.23,12.8,109.1,47.02,0,0.79,0.59,0,0,1.35,6.31,4.01,194.09,0.89,13.01,52.18,125.37,2.94,6.61,0.84,0,0,38.36,0,3.8,3.5,0,972.96,0,0,57.67,10.1,5.61
 96-106,0,1.1,0,40.1,1.81,36.02,0.61,31.2,43.5,104.5,45.47,0,0,0,1.25,7.12,0,8.68,8.38,173.98,2.15,23.35,50.01,182.08,4.79,0,0,0,0,16.01,0,1.03,2.1,0,385.79,1.23,2.56,59.68,8.43,21.55
108-118,0,3.13,0,42.56,0,22.51,1.79,38.98,16.67,87.15,61.99,0,0,0,1.31,10.54,0,5.26,4.29,196.5,0.48,12.85,45.93,184.91,7.44,0,0,0,1.76,15.67,0,0.45,4.86,0,284.71,0,1.17,49.94,15.42,9.78
120,0,0,0,49.56,0,7.76,1.51,30.69,16.53,112.13,47.08,0,0,0,7.27,3.1,0,0,0,249.17,1.72,14.52,51.36,160.33,9.98,0,0,0,0,19.36,1.12,0,3.11,0,182.24,0,0,59.84,40.07,18.59
