stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle
  3-4,0,213.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0,0
  5-6,6.08,159.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.53,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.66,0,0,4.12,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,6.85,0,0,0,0,1.62,2.48,0,0
 24-34,0,0,0,0,0,0,1.15,0,0,1.24,0,0,0,0,0,0,0,2.12,45.14,0.69,0,0,0,0.83,7.07,4.59,0
 36-46,0,0,0,0,0,0,1.45,6.31,0,26.75,0,0,0,0,0,0,0,0,86.19,0,0,0,4.07,5.4,0,24.19,0
 48-58,0,0,0,0,0,0,17.1,0.38,0,34.78,0,0,0,0.39,0,3.47,0,1.27,111.16,2.85,0,0,0,2.5,0,23.93,0
 60-70,0,0,0,0,0,0,23.8,1.22,5.18,49.5,0,0,0,0,0,10.75,0,2.17,230.45,0,0,0,0.83,2.49,0,13.19,0
 72-82,0,0,1.57,0,0,1.29,41.94,4.55,0,59.42,0,0,0.53,0.75,0,13.36,0,4.37,283.18,1.23,2.7,0,1.35,3.31,0,3.21,0.49
 84-94,0,0,1.11,0,1.31,0,34.22,2.25,1.63,51.57,4.21,1.57,0,0,0,17.51,0,1.64,269.01,3.68,0,0,0,0,0,8.89,0
 96-106,0,0,0,0,2.76,0,63.65,2.45,0.84,70.7,2.15,0.88,0,0,0.6,14.37,0,10.13,232.31,4.53,0,0,2.21,0,0,3.34,0
108-118,0,0,0.91,0,0,0.87,58.7,0.42,2.03,70.31,2.45,0,0.43,0,0,6.73,0,3.23,232.11,1.14,0,0,10.74,2.02,0,1.53,0
120,0,0,0,0,5.14,0,79.25,0,0,103.25,0,0,0,0,0,0,17.36,9.91,482.91,0,1.05,0,1.41,0,0,7.97,0
