stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,50.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,53.52,288.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.33,16.8,0,0,6.56,15.3,0,0,0,0,0,0,0
  7-9,8.36,3.7,4.77,0,0,8.02,0,0,0,0,9.06,0,0,0,0,0,0,0,0,155.28,12.61,0,0,59.79,0,0,0,0,0,0,0,0
 10-12,0,4.96,15.79,0,0,24.68,0,0,0,0,0,0,0,0,0,0,0,0,0,139.04,3.1,0,0,9.14,0,0,0,9.11,0,0,0,0
 14-21,0,0,0.81,19.07,2.29,0,0,0,0,0.85,0,0,0,0,0,2.22,0,0,1.16,26.08,0,0,0,2.39,4.38,8.46,0,1.89,4.13,0,0,0
 24-34,0,0,0,2.21,0,2.05,0,0,0,0.64,0,0,0,1.41,0,3.6,0,0,3.02,17.93,2.01,0,0,0,9.13,0,0,0.61,3.28,0,7.94,0
 36-46,0,0,0,2.4,0,1.96,0,0,0.69,0,0,0,0,0,0,0.9,0,0,0.75,27.23,0,0,2.13,0,11.14,0,0,0,6.94,0,0,0
 48-58,0,0,0,1.35,0,5.99,0.38,1.46,2.13,0,0,0,0,0,0,4.73,0,2.52,1.19,15.77,0,0,0,0,12.36,0,5.85,0,6.7,0,0,0
 60-70,0,0,0,1.3,0,13.76,2.61,0,4.01,0,0,0,1.72,0,0,15.2,0,1.78,2.24,10.91,0,1.27,0,0,8.14,0,0,0,0.74,0,0,0
 72-82,0,0,0,0,0,18.84,0,0,2.24,0,0,0,1.73,0,0,4.91,0,0.77,0,13.21,0,0,0,0,1.68,0,0.76,0,0,0,0,0
 84-94,0,0,0,2.84,0,7.24,0.84,0,0,0,0,0,1.46,0,0.69,3.49,0,0,0,1.59,0,1.79,0,0,5.2,0,1.4,0,3.85,0,0,1.95
 96-106,0,0,0,0.72,0,1.73,0,0,0,0,0,0,1.58,0,0,1.94,0,0,0,8.85,0.62,1.86,0.77,0,4.63,0,0,0,0,0.72,1.2,0.85
108-118,0,0,0,3.12,0,1.47,0,0,0.97,0,0,0.68,2.01,0,0,1.63,0.43,0,0,8.09,0,0,0,0,9.92,0,0,0,0,0,0,2.26
120,0,0,1.28,4.39,0,17.48,3.3,0,0,0,0,0,1.42,0,0,3.96,0,0,0,13.23,0,0,0,0,11.1,0,1.21,0,0,0,0,0
