stage,fast_muscle,lateral_line,mesenchyme,muscle,neural,spinal_cord,vasculature
 24-34,0,0,0,3.82,0,0,0
 36-46,3.38,0,0,4.83,7.02,0,0
 48-58,1.27,0,0,0,0,0.76,0
 60-70,0.7,0,0.68,0,0,0,0
 84-94,0,1.05,0,0.77,0,5.8,2.17
 96-106,0,0,2.05,0,5.7,0,0
120,1.04,0,0,0,0,0,0
