stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.53,98.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,7.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.48,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.74,0,6.96,0,0,0,0,0,0.82,0,1.95,0,0,0,0,9.26,0,0,6.8,27.92,0,0,0,0,0,0,1.7,10.18,4.16,1.83,6.39,0,0,0,0,0
 24-34,0,0,2.34,1.12,1.49,0,13.2,0,0,0,2.35,0.68,5.34,12.14,1.34,0,0,2.09,0.66,7,1.56,0,2.67,17.38,0,0,0,0,0,0,0,54.36,4.84,0.6,8.69,0,0,1.9,0,0.72
 36-46,0,0,1.71,0,0,0,10.24,5.18,0,0.71,4.06,0.57,0.73,2.23,3.99,0,0,0.67,7.02,10.42,10,0,16.33,13.92,0,10.06,1.21,0,0,0,0,37.57,31.3,0,2.13,0,0,0,0,2.01
 48-58,0,0,0.42,0,4.37,1.97,13.59,4.62,0,4.2,7.19,0,0.49,3.9,6.05,6.19,0,0,11.06,12.23,7.1,0.4,2.47,18.42,0,0,0,0,0.56,3.21,0,31.98,12.35,0,3.83,0,0.42,0.47,0,13.31
 60-70,0,0,0.95,0,0.6,0,36.53,8.53,0,3.13,27.19,0,0,8.95,0.58,11.08,0.64,0,15.48,23.18,9.89,11.12,2.81,42.86,0,0,0,0,0,3.01,0,26.95,20.15,0,0,0,0,1.05,0.81,3.37
 72-82,0,0,2.96,0.51,2.44,4.08,41.02,5.63,0,5.47,110.13,17.23,1.41,8.05,5.94,9.45,0,1.95,4.87,20.62,3.89,0,4.89,47.9,0,0,3.15,0,0,14.99,0,27.69,4.38,0,0,3.84,3.4,1.29,1.42,15.86
 84-94,0,0,0,1.01,1.45,8.18,83.28,3.29,0,0,50.89,36.45,0,9.73,5.68,18.43,0,1.64,12.16,41.71,3.55,0,3.13,31.1,0,0,5.88,0,0,4.01,0,53.07,5.58,0,0,0,0,9.69,0,4.87
 96-106,0,0,0,0,12.08,19.62,58.89,5.46,0.69,4.25,93.21,47.24,0,14.54,8.9,13.81,0.82,0,4.77,31.75,11.59,0,6.05,30.45,0,1.74,6.34,1.2,0,15.36,0,43.63,1.3,0,2.36,0,2.43,1.87,0.86,9.44
108-118,0,0,1.15,0.49,2.74,0.55,102.55,5.6,0,1.67,61.93,36.99,0.43,12.56,17.64,44.67,2.08,4.77,7.28,29.31,9.51,1.38,13.13,28,0,0.87,8,0,0,1.41,0,31.84,9.63,0,0,0.54,0.69,0,1.4,20.96
120,0,0,0,0,28.87,1.64,64.8,25.34,2.08,1.67,120.3,84.31,1.15,68.16,26.23,30.85,0,7.44,10.98,24.09,4.54,0,0,50.57,6.46,0,10.45,0,0,6.61,0,58.78,2.81,0,0,0,0,2.1,1.99,10.98
