stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,spinal_cord,vasculature
 14-21,0.88,0.98,0,0,1.01,0,0,0,0,1.92,0.89,0,0,0.87,12.26,0
 24-34,0,0,0,0,2.5,0,0.77,0,0,3.79,0,1.05,0,0,0,0
 36-46,4.2,0,3.61,4.4,0,0,2.14,0,1.1,6.23,0,0,0,0,5.7,0
 48-58,0,0,3.79,0,0,0,0.88,0,0,4.62,0,0,0,0,3.9,0
 60-70,0,0,5.15,0,1.92,0,1.02,0,0,6.2,0,0,0,0,2.56,0
 72-82,3.15,0,1.67,0,2.58,0,2.51,0,0,1.17,0,1.04,0,0,0,0
 84-94,0,0,0.9,0.89,4.61,0,3.37,0,0,0,0,0,6.54,0,0,0
 96-106,0,0,2.54,0,0,0,0,0,1.06,0,0,0,0,0,0,0.6
108-118,0,0,0,0,1.33,0.52,0.47,5.53,0,7.6,0,0.66,0.74,0,0,0
120,0,0,0,0,0,0,0,0,0,5.85,0,1.48,0,0,0,0
