stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81,0,0,0,0,0,0,0,0
  7-9,3.36,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.72,3.43,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.96,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,11.67,0,0,0,0,1.37,0,4.31,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0.66,3.45,0,0,0.75,31.22,0,1.89,3.17,0,0,0.88,14.39,0,0,0,0,0
 36-46,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,5.54,0,0,1.97,37.89,0,0.65,11.93,0,0,0,7.78,0,0,2.07,0,0
 48-58,0,0,0,0,0,0,0,0.65,2.65,0,0,0,0,2.95,0,5.05,5.89,0,0,1.03,30.77,0,0,7.08,0,0,0,4.12,0,0,1.73,0,0.62
 60-70,0,0.75,0,0,10.32,0.68,0,0,4.95,0,0,0,0,15.48,0,0,6.02,0,0,1.93,46.59,0,0,24.35,0,0,0,1.32,30.65,0,0,0,0
 72-82,0,7.04,10.07,0,33.82,0,0,0,4.17,8.53,0,0,0,9.88,1.92,0,13.89,0,1.73,4.32,76.51,0,5.53,4.47,9.01,0,1.06,0.95,214.92,0,4.22,0,0
 84-94,0,13.63,0,0,38.14,0,0,0.75,3.16,3.17,0,0,0,49.63,0,0,5.18,0,0,0,60.59,0,0,10.34,0,0,0,3.3,694.75,0,1.22,0.71,0
 96-106,0,21.54,14.36,0,26.67,0,0,0,28.17,9.28,1.61,4.46,0,37.5,0,0,22.43,4.41,0,1.48,77.42,0,3.43,33.32,8.05,0,0.84,1.46,1331.99,1.64,0,0,0
108-118,0,6.97,2.45,1.27,10.59,0,1.08,0,6.03,6.12,0,0,0.85,44.76,0,0.52,11.98,0,0,0.57,69.43,0,3.2,15.49,25.33,0,0,1.58,1713.59,0,0,0.72,3.48
120,0,7.04,0,0,0,0,0,1.04,2.08,3.37,0,0,0,32.31,0,0,18.89,0,0,2.94,43.86,0,1.62,20.88,2.57,0,0,0,768.84,0,0,0,0
