stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,51.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,87.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.64,0,0,0,0,0,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,0,58.25,3.63,0,0,0,6.55,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.41,0,0,0,15.61,7.72,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.88,0,0.93,0,0,0,0.89,0,0,0,0,0.81,0,0,0,0,1.9,0,0,0,29.52,0,0,0,1.41,40.05,1.91,2.97,9.42,0,0,0,0,0
 24-34,0,0,0,3.7,0,4.05,0,0,0,0.89,0,0,8.93,0,0,0,0,0,0,2.33,0,0,8.33,99.15,0,0.79,3.11,0,172.43,4.29,0,13.66,0,0,1.26,0,0
 36-46,0,0,0,2.82,0,3.1,0,11.38,0,1.84,1.33,0,0,0,0,0,0.61,0,0,2.42,1.99,0,0.73,67.63,0,2.63,4.37,0,159.39,1.03,0,13.79,0,0,0,0,0.93
 48-58,0,0,0,1.39,0,12.76,0,0,0.58,2.33,2.47,2.63,0,0,0,0,0.58,0,0,3.15,0.56,0,0,44.55,0,0.49,2.08,0,128.9,0,0,6.91,0,0,0,0,0
 60-70,0,0,0,6.16,0,32.03,0,0.68,0,6.66,1.27,0,0,0,0,0,0,0,0,27.18,0,0,0,39.21,0,2.18,2.22,0,118.35,0.6,0,5.83,0,0,0,0,6.68
 72-82,0,1.32,3.31,2.31,10.52,15.2,0,0,0.61,20.62,8.82,0,0,0,0,2.2,0,0,0,5.17,0,0,0.49,24.24,0,1.23,10.97,0,28.36,1.14,0,3.06,0,0,0,1.15,0
 84-94,0,0,0,2.51,0.59,7.84,0,0,2.34,26.55,9.4,0,0,1.47,0.68,0,0.65,0,0,5.15,1.3,0.57,0,4.17,0,0.95,2.24,0,60.62,2.11,0,0,0,0,0.63,2.16,0
 96-106,0,0,0,14.44,0.85,2.36,0.58,0,0,15.88,15.51,0,0,1.67,0,0,0,0.62,0,4.5,0,0,0.67,10.11,0,0.68,8.01,0,42.31,0,0,6.66,0,1.93,0.57,0,0
108-118,0,0,0,24.47,4.19,13.67,0,0,0,17.77,14.94,0,0,0,1.07,0,0.51,1.26,2.77,5.68,0,0,1.22,15.08,0,1.35,3.49,0,40.57,1.59,0,2.21,0.98,0,0,0.55,0.84
120,0,0,1.66,37.48,0,9.24,0,1.8,0,13.02,29.31,0,0,0,0,0,0,0,0,4.59,0,0,0,24.47,0,0,0,0,44.55,1.21,0,0,0,0,0,0,4.96
