stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.61,565.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.69,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,293.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.47,5.25,0,0,0,0,0,57.92,0,0,0,7.77,0,0,0,0,0,0,0,0,0,0,0,361.13,9.95,0,0,62.89,0,0,3.79,0,9.82,0,0,0,0,0,0,0,0
 10-12,0,17.14,0,14.57,0,0,0,44.29,0,0,0,14.6,0,0,0,0,0,0,0,0,0,0,0,493.38,11.78,0,0,167.58,0,0,4.8,0,37.25,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.84,49.45,7.84,0,33.59,2.03,0,5.76,0,13.6,0,0.83,0,0,0,0.89,38.85,0,0,17.2,234.55,3.73,0,0.97,7.35,0,0,7.14,26.88,0,1.33,7.27,56.19,0,0,0,0,0
 24-34,0,0,0.8,0.62,9.84,2.6,0,24.11,5.87,2.3,13.01,0,24.41,0,2.03,2.09,0,0,9.67,60.54,0,0,11.98,149.3,0.64,0,0.62,0,1.61,0,0,0,3.43,0,1.33,41.35,0,0,3.25,0,0.95
 36-46,0,0,0,0,0,0,0,22.65,0.66,7.54,38.2,0,14.93,0,5.3,0,1.66,0,16.67,47.33,0,5.04,3.46,109.47,0,0.92,2.76,0,0,0,0,0,0.61,0,0,21.28,0,0,9.93,0,0
 48-58,0,0,0,0,1.69,0,0,29.75,0.44,28.54,45.42,0.75,4.72,0,0,0.39,0.93,0,19.09,72.77,0.4,2.55,4.49,95.44,0,0,0.93,0,2.15,0,0,0,0,0,0,7.05,0,2.32,2.68,0,4.24
 60-70,0,0,0,0,0,0,0,153.92,1.48,17.39,22.38,0,1.65,0,0,0,1.32,0,2.09,189.31,0,18.67,5.14,134.5,0,0,2.33,0,1.19,0,0,0,4.68,0,0,6.27,0,16.97,0,3.27,0
 72-82,0,0,0.5,0,6.84,2.01,0,319.71,0,51.63,15.15,2.07,5.34,0.59,0,0,3.06,0,7.64,256.65,0,7.17,7.35,262.53,0,0,5.59,0,1.67,0,0.56,0,1.99,0,0,37.1,0,28.28,0,23.45,0
 84-94,0,0,0,0,7.61,8.31,0,363.62,0.95,31.86,15.47,0,1.77,0,0,0.64,3.82,0,9.47,239.76,0,26.14,2.56,181.67,0,0,12.9,0,1.68,1.67,0,0,6.34,0,0,23.3,0,31.4,2,12.19,0
 96-106,1.12,0,0,0,5.97,0.84,3.86,530.77,1.26,39.33,18.99,0,12.1,0,0,3.51,3.53,1.8,4.84,273.68,0,28.21,5.68,203.28,0,1.51,11.87,0,19.58,0,0,0,0.82,0,0,3.39,1.44,56.96,0,32.42,0
108-118,0,0,0,1.22,7.48,1.5,0,484.43,0.43,51.26,16.98,0,7.66,2.53,3.57,1.1,5.22,1.6,12.61,339.55,0.77,16.59,1.85,212.25,0,0,11.56,0,22.62,0,0,0,1.4,0,0,1.72,3.39,32.55,0.48,19.11,0
120,0,0,0,0,12.42,1.39,0,226.75,3.82,48.45,32.48,0,9.15,0,1.45,8.53,2.05,0,5.25,207.06,0,14.18,0,270.25,0,0,1.47,0,23.37,1.11,0,0,0,0,0,0,1.94,47.5,0,29.38,0
