stage,axial,blastomeres,epidermis,eye,fast_muscle,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,52.45,897.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.93,376.22,0,0,0,0,0,0,0,0,0,0,0,14.99,0,0,0,10.17,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.95,0,0,0,0,0,0,0,0,0,35.54,0,0,4.57,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,44.65,0,0,17.51,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.85,0,0,6.98,1.18,0,0,0,0,2.78,0,6.59,8.19,1.21,0,0,1.92,8.88,0.97,16.04,0,0,0,0
 24-34,0,0,0,0,0,10.97,0,0,0,0,0,1.19,0,11.2,9.23,1.66,0,0.64,0,9.71,0,21.18,0,0,1.63,0
 36-46,0,0,0.72,0,0,6.86,0,0,0.67,0,0,0.75,0,14.34,21.8,2.17,0,6.5,0,14.8,0,17.41,0,0,1.37,0
 48-58,0,0,6.03,0,0,5.98,0,0,0.42,0,0.4,2.96,0,17.92,11.69,0.38,0,0,0,2.61,0,16.58,0,0,0,0
 60-70,0,0,0,2.41,0,7.84,0,0,0.6,0,0.77,7.01,0,7.85,9.33,6.65,0,0,0,1.9,0,14.79,0,0,0,5.58
 72-82,0,0,0,1.47,0,10.28,0,0.58,0.8,0,0.81,2.23,0,8.18,12.23,1.87,0,0,0,1.15,0,9.02,1.16,0,0,0
 84-94,0,0,2.02,4.62,1.34,7.39,0.57,0,1.6,0,2.03,0,0,5.3,10.57,6.03,0,0,0,1.5,0,1.58,0,0,0.97,0
 96-106,0,0,0,3.24,0,1.01,0,0,0,0,2.37,1.16,0,4.74,33.01,13.09,0,0,0,0.7,0,9.79,2.22,0,0.65,0
108-118,0,0,0,0.58,0,7.27,0,0,0,0.56,1.65,3.42,0,7.66,17.03,9.76,0,0,0,2.05,0,0.7,0,0,0,0
120,0,0,0,0,0,5.9,0,0,1.52,0,0,0,2.42,28.09,33.05,56.62,0,0,0,12.03,0,20.52,0,10.67,0,0
