stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,147.55,1410.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.75,0,0,0,0,0,0,0,0,0,0,0
  5-6,66.04,1565.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.11,0,0,0,16.11,0,19.57,0,0,0,0,0,0,0,0,0,0,0
  7-9,39.65,17.29,27.32,0,0,107.56,0,0,0,0,0,56.34,0,0,0,0,0,0,0,0,0,0,0,895.08,35.69,0,0,330.22,0,0,10.45,0,0,0,0,0,0,0,0,0,0
 10-12,0,20.31,38.02,0,7.97,28.04,0,0,0,0,0,10.64,0,0,0,0,0,0,0,0,0,0,0,485.84,17.7,0,0,337.19,0,0,9.03,0,43.01,0,23.94,0,0,0,0,0,0
 14-21,0,0,0.85,41.06,11.82,21.56,0,0,0,6.29,4.4,0,0,0,2.62,0,0,0,0.86,25.45,0,0,20.03,262.58,2.36,0.93,0.84,12.43,0,12.09,0,96.93,1.88,1.79,55.12,83.2,0,0,0,0,0
 24-34,0,0,0.61,14.42,2.42,54.59,0,0,0,7.56,0,0,1.02,0,0.77,1.88,0.63,0,0,56.6,0,0,22.61,411.53,1.54,0.77,5.85,10.77,0,12.39,0,0,0,0,8.69,89.5,0,0,13.41,0,2.31
 36-46,0,0,0,4.52,0.76,73.67,3.42,6.34,0.75,8.12,0.58,0,0,0,0,0,0,0,0,48.52,8.63,0,11.6,248.61,0.85,0,0,0,0,5.45,0,0,2.25,0,0,56.25,0,0,4.08,0,0
 48-58,0,0,0,3.79,5.89,109.41,0.37,0,0.44,26.18,0,0,0,3.5,0,0.51,0,2.25,3.64,68.5,2.38,1.01,12.81,197.28,0,0.86,2.74,0,0,4.91,0,0,1.07,0,0,34.72,0,0,3.67,0,2.41
 60-70,0,0,0,4.71,0,96.05,1.01,2.18,1.67,39.75,1.66,0,0,0,0,0.67,0,2.74,0,41.43,0,0.59,2.51,164.65,0,0,0,0,0,4.47,0,0,0.63,2.94,0,23.99,0,0,3.22,0,0
 72-82,0,0,0,7.54,0,55.26,0.55,2.14,2.75,18.36,4.28,0,1.36,0.65,1.02,0,1.47,0,0,80.97,1.79,1.09,9.12,128.51,0,0,4.91,0,0,14.18,0,0,0,3.03,0,29.17,0,2.77,8.36,1.88,0
 84-94,0,0,0,15.04,0,27.86,0,0,0.69,18.15,0.62,0,0,0,1.78,0,1.52,7.26,2.16,52.29,0,0,9.68,64.15,0,0,3.73,0,0,3.84,0,0,0,0,0,5.74,0,0.63,6.68,3.85,0
 96-106,0,0,0,6.49,1.97,20.84,0,0,4.49,30.93,0.83,0,0,2.59,2.29,0.74,0.97,0,0.69,64.87,0,0,9.52,65.28,2.06,1.89,0.98,0,0,1.98,0,0,0,0,0,6.59,9.81,3.54,0,1.78,0
108-118,0,0,0,17.82,1.47,32.34,0,1.69,1.4,21.7,2.91,0,0,0.92,0,0,0,5.06,0.44,76.74,0,2.96,10.59,108.41,0.43,0.47,1.7,0,0,6.66,0,0,0.43,0,0,2.79,0,0.89,6.52,0,1.98
120,0,0,0,19.31,2.97,26.46,0,0,0,39.32,2.67,0,2.11,4.13,1.45,4.47,0,2.27,0,109.84,0,0,6.13,99.39,0,1.45,6.99,0,24.25,9.74,0,0,1.12,6.93,0,0,0,18.73,7.92,0,0
