stage,axial,blastomeres,endoderm,erythrocytes,eye,glial,immune,mesenchyme,neural,olfactory,periderm,spinal_cord,taste,vasculature
  3-4,13.35,25.33,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.57,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,7.52,0,0,0,0,0
 14-21,0,0,0,0,0.81,0,0,0,4.38,0,0,0,0,0
 24-34,0,0,0.84,0,1.35,0,1.12,0.73,8.61,0,0,0.86,0,0
 36-46,0,0,0,0,0,0,0.63,0,0.86,0,0,0.71,0,0
 48-58,0,0,0,0,5,0,0,0,2.34,0,0,0,0,0
 60-70,0,0,0,0,0.94,0,0,0,2.52,0,0,0,0,0
 72-82,0,0,0,1.48,0,0,0,0.7,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.8,0,0,3.04,0,0,0,0,0
 96-106,0,0,0,0.88,7.31,0,0,0.95,4.64,0.84,0,0,0,0
108-118,0,0,0,0,0,0,0,4.74,8.59,0,4.3,0,1.66,70.46
120,0,0,0,1.42,0,0,0,0,0,0,0,0,0,430.13
