stage,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,ionocyte,mesenchyme,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,21.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,1.04,0,0,0,0.92,0,14.12,4.21,0.91,3.48,2.82,1.08,0,0,0
 24-34,0,0,0,0,0,0,0,0.67,0,1.16,0,0,1.13,0,0,1.21,2.07,0
 36-46,0,0,0,0.74,0,0,0,1.49,0,0.63,0.55,0,0,0,0,9.09,0,0
 48-58,0,0,0,0.59,1.9,0,0,1.29,0,1.33,0,0,0,0,0,0,0,0
 60-70,0,0,0,1.04,0.81,0,0,1.87,0,0,0,0,0,0,0,2.31,0,0
 72-82,0,0,0,14.83,0,1.06,0,1.94,0,2.4,0,0,0,0,0,0,0,1.14
 84-94,0,0,0,54.68,0,0.68,0,1.96,1.09,0.89,0,0,0,0,0,0,1.96,0
 96-106,0,0,0,51.64,0,0,0.56,0.74,0,4.97,0,0,0,0,0,0,0,0
108-118,0,0,0,62.67,0,0.71,0,4.29,0.63,0,0,0,6.18,0,0,1.9,0,0
120,0,0,0,41.53,5.01,0,0,3.71,2.81,0,0,0,0,0,0,0,0,0
