stage,axial,blastomeres,endoderm,eye,glial,neural,notochord,paraxial_mesoderm,periderm
  3-4,0,43.14,0,0,0,0,0,0,0
  5-6,93.85,734.91,9.08,0,0,14,0,0,8.81
  7-9,7.02,0,9.65,28.56,0,256.32,8.05,74.98,0
 10-12,0,0,0,0,0,15.18,0,0,0
 96-106,0,0,0,0,0,0,0,0,0.6
120,0,0,0,0,17.57,0,0,0,0
