stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,glial,gut,hatching_gland,immune,ionocyte,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle
  3-4,43.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,0,0,0,0,0,0,0,0
 10-12,6.28,0,0,0,0,0,0,0,6.12,0,0,0,0,0,0,3.71,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,4.06,0,0,0,0,0,0,0.82,2.87,8.42,6.53,0,0,3.69,0,42.12,0,0
 24-34,0,2.23,0,1.32,0,0,13.14,0,0,0,10.28,0,0,0.85,0,7.76,73.51,1.54,1.77,10.11,0.66,53.47,0,0
 36-46,0,0,0,0,1.91,0,5.61,0,0,0,0,0,8.04,0,0.7,26.65,75.03,6.26,0,15.38,0,24.01,0,0
 48-58,0,0,0,0,0.39,0,10.92,0,0,0,0,0,0,2.78,0,29.17,59.58,1.86,0,3.81,0,21.05,0,0
 60-70,0,1.48,0,1.54,5.47,0,6.3,1.23,0,9.57,1.08,0,0,0,0,45.23,44.63,2.41,0,0.82,0,16.5,0,0
 72-82,0,12.49,0,0,1.56,1.01,8.39,3.72,0,0.68,0.55,0.7,0,0,0,16.03,68.27,5.48,0,0.57,0,17.36,0,0
 84-94,0,12.63,1.01,0,6.44,0,13.67,1.52,0,0,0.75,0.8,0,0.9,0,12.57,93.79,6.44,2.54,1.8,0,2.99,0,0
 96-106,0,16.94,0,0.99,11.3,0,9.35,3.91,0,1.18,3.32,4.35,0,0,0,7.66,109.06,4.51,0,0.97,0,3.06,0,0
108-118,0,2.9,0,0.96,0,0,7.46,4.25,0,0,3.19,4.29,0,2.33,0,20.73,76.41,3.74,0,2.87,0,4.3,1.19,0
120,0,7.43,0,0,1.24,0,1.16,0,0,0,0,1.07,0,0,0,34.53,90.38,8.31,0,10.19,0,0,0,1.52
