stage,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,otic,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,14.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07,0,0,0,0,0
 48-58,0,0,2.3,5.5,0,1.57,0,0,0,0,0.63,2.16,0,11.23,0,0,0,0,5.08,0,0,0,6.3
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.68,10.84,0,1.35,0,0.6,0,0.99,0,9.61,0,53.19,3.09,1.86,0,0,4.76,0.67,0,0,0
 84-94,0,0,4.46,666.05,0,1.73,0,1.41,1.52,0,1389.49,14.06,0,351.24,0,0,0,0,0,0,0,1.47,0
 96-106,0,0,0,12.44,0,0,0,0.91,0,0,0,5.72,0,10.21,0,0,0,0,0,0,0,0,0
108-118,0,0.75,0.53,14.88,0,0,1.11,0,0,0,0,19.73,3.85,3160.63,1.27,0,0,0,0,0,0.86,0,0
120,0,0,3085.2,95.56,12.08,19.92,0,0,0,0,0,0,0,6.81,0,1.23,0,0,6.18,0,0,0,0
