stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.61,818.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.22,0,0,0,0,0,0,0,0,0,0
  5-6,32.68,662.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54,0,0,0,0,0,15.64,0,0,0,0,0,0,0,0,0,0
  7-9,13.74,3.31,0,0,0,0,0,11.75,0,0,0,0,0,12.34,0,0,0,0,0,0,0,0,0,0,0,169.25,22.66,0,0,44.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.07,0,0,0,0,0,9.36,0,0,0,0,0,14.85,0,0,0,0,0,0,0,0,0,0,0,158.37,0,0,0,48.82,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.77,20.09,7.8,0,4.13,0,0,0,2.47,0,0,0,0,0,0,0,0,0,11.91,0,0,18.28,84.85,1.88,0,2.44,0,0,6.86,13.4,0,0.89,3.84,20.2,0,0,1.06,0,0
 24-34,0,0,0,0.67,32.16,0.68,0,18.83,0,1.91,0.69,5.51,0,0,3.05,0,0,0,0,0,0,109.85,0,2.43,31.94,236.1,2.42,2.3,1.41,0,1.61,11.74,0,2.91,0,0.66,56.32,0,0,11.23,0,0.93
 36-46,0,0,0,0.56,42.28,0,0,25.75,0,1.78,1.76,27.66,0,0,0.57,0,0,0.65,0,0,3.64,212.49,0,2.26,49.08,305.86,2.23,0,2.95,0,0,12.78,0,0,7.05,0,69.67,0,0,13.98,0,30.17
 48-58,0,0,0,0,66.39,0,0,81.91,0,14.76,8.19,33.43,1.77,0,0,0.45,7.25,4.2,0.45,0.48,0,357.78,1.71,1.38,45.99,295.87,0.56,0.93,1.03,0,2.04,13.12,0,8.72,0,0,75.03,0,1.3,0,0,5.99
 60-70,0,0,0,0,54.29,0.59,0,94.36,1.1,31.66,10.96,26.65,0,0,0.76,0,7,5.5,0,7.67,0,492.73,0,22.39,36.29,287.59,3.78,6.55,2.94,0,0,20.74,0,0.68,1.71,0,31.95,0,19.44,2.13,3.61,17.55
 72-82,0,0,0,0,63.57,4.97,0,112.58,0,8.1,18.36,41.62,0.51,0,0,0,0.53,6.99,4.34,0.78,0.64,725.31,0,28.67,45.26,280.32,1.61,1.39,4.81,0,4.41,11.99,0,0,1.5,0,30.37,2.7,15.84,6.55,39.59,12.87
 84-94,0,0,2.44,0,54.77,0.71,0,122.74,5.9,20.44,3.68,18.27,7.67,0,0.97,3.34,1.85,4.41,0,1.81,5.48,539.46,0,24.48,27.43,178.87,4.02,7.7,7.68,0,0,22.16,0,1.21,0.61,0,19.13,7.27,26.79,13.69,19.13,2.77
 96-106,0,0,0,0,74.92,10.91,0,85.69,1.82,29.22,7.41,69.18,3.63,0,0,3.82,0,18.9,5.43,0.6,0,505.7,4.41,6.03,21.96,119.08,1.9,5.77,4.02,0,3.88,22.62,0,0.71,0.7,0,6.91,2.14,19.99,10.86,41.44,1.05
108-118,0,0,0,0,77.05,7.36,1.77,88.09,0,17.66,8.79,70.84,5.27,0,0,4.96,0,9.17,0,5.17,2.47,597.43,8.72,9.37,21.01,188.09,4.11,2.08,7.18,0,4.06,5.93,0,0.42,0,0,5.58,1.93,8.89,15.19,29.41,8.26
120,1.12,0,0,0,155.41,5.14,0,140.05,10.94,37.76,2.35,106.43,10.86,0,0,3.93,3.03,17.54,0,1.5,0,717.87,6.75,65.93,29.54,275.59,0,1.09,17.96,0,9.21,15.32,0,0,0,0,15.31,0,36.68,30.83,115.11,6.16
