stage,epidermis,eye,fin_epithelia,glial,heart,mesenchyme,muscle,neural,periderm,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0.87,0,0,0,0
 24-34,0,16.04,0,3.25,0,0,1.04,315.56,0,34.08,0,0
 36-46,0.79,91.22,0,21.45,0,0,0,416.53,10.3,92.84,0,0
 48-58,3.83,176.37,3.41,64.83,1.74,1.46,0,465.42,0,109.92,0,0
 60-70,0,116.8,0,26.38,0,0,0,158.8,1.94,33.34,0.71,0
 72-82,0,29.68,0,17.63,0,0.54,0,120.51,0,15.22,0,0
 84-94,0,40.08,0,2.97,0,0,0,66.88,0,1.71,0,0
 96-106,0,24.51,0,8.48,0,0,0,70.5,0,8.92,0,0
108-118,0,30.43,0,23.13,0,0,0,89.43,0,1.3,0,0.5
120,0,67.28,0,38.82,0,0,0,120.91,0,0,0,0
