stage,axial,blastomeres,endoderm,epidermis,eye,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  3-4,114.17,2541,0,0,0,0,0,0,0,0,0,163.05,0,0,0
  5-6,186.32,1973.56,0,0,0,0,0,0,80.7,10.72,23.47,39.4,0,0,0
  7-9,22.77,35.27,24.39,0,56.85,45.46,0,0,550.41,31.71,269.48,0,0,0,0
 10-12,0,0,5.65,0,11.68,0,0,0,80.44,5.55,79.63,0,0,0,0
 14-21,0,0,0,1.1,2.5,0,1.04,3.36,2.12,0,0,0,2.59,0.84,1.02
 24-34,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0.99
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.54,0,0,0
 48-58,0,0,0,6.51,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0
