stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,8.5,58.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.79,0,0,17.45,0,0,0,0,0,0,3.81,0,0,0,0,0,0,0,0,0,87.87,19.46,0,0,21.07,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.91,0,25.72,0,0,0,0,0,0,12.16,0,0,0,0,0,0,0,0,0,462.42,19.75,0,0,78.5,0,0,23.57,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,8.21,3.7,2.31,0,53.68,0,0,0,0,0,0,0,0,5.47,0,0,105.29,0,3.75,14.05,2.73,0,2.52,48.58,0,0,214.07,0,0.83,0,0
 24-34,0,0,0,0,0.66,0,1.28,0,97.33,0.73,0,0,0,0,0,0,0.59,5.73,0,2.73,54.56,2.11,14.55,2.59,0,0,0,38.82,0.62,0.94,174.12,0,0.6,0,1.04
 36-46,0,0,0,0,0,0,1.34,0,65.13,0,0,0,0,0,0,2.63,0,2.33,0,0,108.49,0,32.05,2.04,0,0,0,12,0,0,137.46,0,0,0,0
 48-58,0,0,0,0,0,0,12.85,0,56.73,0,0,0,0,0,2.48,5.5,0,0.86,0.46,0,64.6,0.38,29.9,1.63,0,0,0,7.58,0,0,117.01,0,0,0,0
 60-70,0,0,0.62,0,1.73,0,4.21,0,63.38,0.63,0,1.31,0,6.1,3.85,0,0,1.47,0,0,58.89,0,14.18,14.59,0,3.22,0,22.03,0,0,64.82,0,0,0,0
 72-82,0,0,1.18,0,2.34,0,3.38,0,47.02,1.81,0,0,0,0,2.91,0,0,1.06,0,0,38.08,0,30.69,5.28,0,0,0,3.96,0,0,24.15,0.56,0,0,0
 84-94,0,0,6.36,1.01,1.3,0,5.64,0,33.63,3.82,0,1.25,1.01,0,5.52,0,0,0,0,1.02,30.36,0,56.59,20.68,0,1.56,0,6.5,0,0,37.37,0.61,0,0,0
 96-106,0,0,0,0,0,0,0,0.62,37.19,0.66,0,2.32,0,0,2.62,0,0,2.2,0,0,15.32,0,21.8,15.89,0,0,0,3.1,0,0,23.54,0,0,0.98,0
108-118,0,0,2.32,0.42,1.71,1.94,2.41,0,28.59,2.71,0,1.19,0,0,3.85,0,0,0,0,0,36.33,0,16.21,18.36,0,0.48,0,3.28,0,0,11.39,0,0,0,0
120,0,0,2.96,0,0,0,15.14,0,70.32,1.46,0,0,0,0,12.75,0,0,0,0,0,50.8,0,12.07,9.47,0,0,0,8.95,0,0,17.05,1.27,0,0,0
