stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,6.02,0,0,0,8.9,1.87,0,0.87,2.63,0,0,0,0
 24-34,0.9,0,0,0.75,0,0,0,0,0,1,0,0,0,3,0,0,0.9,21.62,0,0,0,0,0,0,0,5.31,0,0.73,0,0
 36-46,2.44,0,0,11.06,0,0,0,1.67,0,0,0,0,0,2.52,0,0,0.88,39.89,0,0,0,3.45,0,0,0,8.37,0,0,0,10.02
 48-58,2.53,0,0,8.16,0,0,0,5.42,0,0,0,0,0,6.84,0,0,0,52.16,0.55,0,0,5.81,0,0,0,17.13,0,3.07,0,1.32
 60-70,10.59,0,0,20.08,1.41,0,0,0,0,0,0,0,0,1.32,0,0,0,18.12,6.63,0,0,1.34,0,0,0,4.14,0,0,0,0
 72-82,0,0,0,10.6,0,0,0.94,5.29,0,0,0,0.7,1.44,14.07,1.3,4.89,0,24.74,2.3,0.52,0.5,2.16,0,0,0,20.7,0,1.75,2.22,0
 84-94,5.51,3.42,0,8.44,0,1.15,1.27,5.77,0,0,0,0,0,11.59,2.83,1.08,0,6.63,0,0,0.72,2.5,0,0,0,0,1.55,5.85,0,0
 96-106,5.98,0,0,9.39,0,0,1.01,14.22,1.16,1.68,0.81,0,1.02,17.95,0,0,0,15.84,0,2.34,0,7.5,0,0.57,0,0,0,3.26,0,3.81
108-118,8.89,5.99,0,5.15,0.44,0,0,10.01,0,0,1.08,0,1.09,23.77,0,0,0,29.77,0.51,1.19,0.51,0.43,0,0,0,0,0.46,6.95,1.68,0
120,1.78,7.04,2.42,4.15,0,0,3.46,26.76,0,0,0,0,0,19.02,0,0,0,33.61,0,1.57,1.61,5.83,0,0,0,0,0,5.76,0,0
