stage,blastomeres,eye,muscle,neural,spinal_cord,xanthophores
  5-6,17.95,0,0,0,0,0
 10-12,0,0,0,11.5,0,0
 24-34,0,0,0,0.68,0,0
 36-46,0,0,1.28,14.09,0.81,0
 48-58,0,5.56,0,2.85,0,0.72
 60-70,0,1.04,0,9.43,0,0
 72-82,0,1.88,0,6.4,0,0
 84-94,0,4.81,0,0.68,1.5,0
