stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,paraxial_mesoderm,pgc,spinal_cord
  3-4,34.17,132.26,0,0,0,0,0,0,0,0,0
  5-6,17.34,142.85,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.48,0,0,0,3.91,4.61,8.64,0
 10-12,0,0,0,0,0,0,0,0,0,5.62,0
 14-21,0,0,3.7,0,0,0,0,0.98,0,0,0
 24-34,0,0,0,0,0,0,0,0.88,0,0,0
 36-46,0,0,0,0,0,0,0,8.54,0,0,0
 48-58,0,0,0,0.68,0,0,0,12.55,0,0,4.59
 60-70,0,0,0,0,0.78,1.02,0,9.72,0,0,0
 72-82,0,0,0,0,0,0,0,10.19,0,0,0
 84-94,0,0,0,8.61,0,0,0,3.22,0,0,0
 96-106,0,0,0,0,0,0,0,8.47,0,0,0
108-118,0,0,0,1.63,0,0,0.97,6.38,0,0,0
120,0,0,0,4.38,0,0,0,0,0,0,0
