stage,axial,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,12.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,19.75,0,7.67,0,0,0,0,0,0
 10-12,0,0,0,14.27,0,0,0,0,0,0,0,0,0,0,0,0,10.23,0,0,0
 14-21,0,3.21,0.83,0,0,0,4.88,1,1.05,1.13,0.81,27.68,0,1.77,0,9.68,0,2.91,39.95,0
 24-34,0,0,0,0,0,0.79,11.51,0,0,3.98,1.45,55.71,0,0,0,0,0,1.29,110.06,0
 36-46,0,0,0,0.9,0,0,4.64,0,0,1.45,0.82,62.79,0,0,0,0,0.58,0,95.57,3.51
 48-58,0,0,0,1.01,0,0.69,3.48,0,0,0.54,2.27,61.76,0,0,0.44,0,0,0,45.77,0
 60-70,0,4.62,0,0,0,0,0,0,0,5,0,37.29,0,0,1.22,0,0,0,34.46,0
 72-82,0,0.65,0,5.95,0,0,4.1,0,0,3.34,0,11.52,1.26,0,0,0,0,0,20.39,0
 84-94,0,0.71,0,0,0,0,4.58,0,0,1.2,0,2.74,0,0,0.57,0,0,0,6.47,0
 96-106,0,0,0,5.68,0,0,5.3,0,0,2.08,0,0,0,0,0,0,0,0,4.33,0
108-118,0,1.69,0,0,1.9,0,2.09,0,0,0,0,10.12,0,0,0,0,0,0,0,0
120,0,1.51,0,0,0,0,6.53,0,0,5.8,1.25,15.06,0,0,1.51,0,0,0,0,0
