stage,eye,glial,mesenchyme,neural,olfactory
 24-34,0,0,0,0,0.95
 84-94,0,0,0,0,15.99
 96-106,4.82,0.9,0,0,58.12
108-118,0,0,0,2.41,1.92
120,0,0,1.6,0,56.59
