stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,163.81,3281.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.14,0,0,0,0,0,0,0,0,0
  5-6,85.61,1123.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.85,0,0,0,9.5,0,8.08,0,0,0,0,0,0,0,0,0
  7-9,76.04,5.95,0,7.5,0,0,0,10.23,0,0,0,0,4.43,0,0,0,0,0,0,0,0,0,0,233.97,58.51,0,0,221.56,0,5.88,5.15,0,0,0,0,0,0,0,0
 10-12,0,26.95,0,28.83,0,5.53,0,24.73,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1117.52,205.92,0,0,1405.89,0,0,5.62,32.18,35.57,0,76.37,19.63,0,0,0
 14-21,0.89,0,0,4.33,298.56,5.5,0,15.04,5.28,0,4.14,5.32,9.22,0,1.91,0,0,4.5,0,24.81,0,0,109.26,63.77,43.34,0.86,1.85,27.27,0,3.22,0,209.15,5.63,5.29,1033.47,56.62,0,18.51,0
 24-34,0,0,0,3.21,89.38,1.43,0,27.02,21.01,2.9,4.89,8.7,0.78,0,0,0,1.54,1.99,0,70.19,0,0,111.72,121.86,10.54,2.02,5.98,0,0,9.26,0,0,7.87,1.69,91.4,65.68,0,105.33,0
 36-46,0,0,0,0,20.41,7.25,0,18.63,10.11,6.08,5.35,0.8,2.4,0,0,0,0,5.97,0,69.8,0,0,37.33,174.46,21.92,3.27,2.9,0,0,32.25,0,11.89,0.65,0,0,56.92,0,61.16,0
 48-58,0,0,0,0,23.73,7.12,0,39.41,17.6,5,6.93,0,0.97,0,0,0,1.92,0,0,65.43,1.73,0,20.06,240.92,2.29,1.4,1.09,0,0,4.1,0,0,0,0,0,55.58,0,47.64,0.48
 60-70,0,0,0,0,37.16,0.75,0,30.27,9.89,4.52,10.12,0,0.63,0,0,0,0,0,0,49.33,0.85,0,13.96,434.09,0,4.74,3.19,0,0,0.65,0,0,4.24,0.86,0,89.84,0,15.01,0
 72-82,0,0,0,0,28.49,0,0.7,58.72,18.78,16.13,25.39,1.15,0,0,0,0,0.74,0.88,0,68.04,0.88,0,3.93,538.4,0,9.21,10.71,0,0,7.19,1.65,0,0,0.53,0,75.42,1.38,30.55,0
 84-94,0,0,5.67,2.08,32.88,0,3.87,71.79,1.79,7.29,25.62,3.5,0.6,0,0,0.86,0,1.49,1.36,73,0,0,14.63,419.86,0,4.95,13.59,0,2.3,2.38,0,0,2.46,0,0,74.68,0,35.54,0
 96-106,0,0,1.38,0,24.11,4.21,6.93,59.6,5.95,4.79,31.67,2.67,0,0.95,1.23,0,0,7.59,0,54.7,0,0.85,10.1,441.17,0,2.17,26.9,0,0,0.94,0,0,0.71,0,0,32.8,0,22.38,0
108-118,0,0,3.31,0.74,14.26,9.06,36.04,48.82,13.43,7.2,57.05,9.75,0,0,3.02,0.43,0,0,0,65.86,4.22,0,8.86,477.58,0,8.27,12.64,0,8.8,0,0,0,0,1.05,0,38.04,0,41.74,0
120,0,0,11.86,0,26.13,4.56,6.84,74.24,16.27,14.66,34.98,19.98,0,0,6.93,0,0,14.46,0,90.85,1.65,0,13.42,1055.53,0,0,19.04,0,0,1.23,0,0,0,0,0,37.49,0,18.66,0
