stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,958.15,52651.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2879.61,0,0,0,0,0,0,0
  5-6,820.08,9348.37,0,0,0,0,0,0,0,0,0,56.99,0,0,0,0,0,0,0,0,0,0,366.19,17.44,0,0,17.77,157.65,0,0,0,0,0,0,0
  7-9,9.73,32.11,40.08,0,0,25.16,0,0,0,0,0,22.8,0,0,0,0,0,0,0,0,0,0,469.99,37.36,0,0,375.76,4.34,40.9,0,0,0,0,0,0
 10-12,0,37.1,143.55,0,0,13.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.1,7.13,0,0,413.85,0,18.88,0,785.96,0,0,0,0
 14-21,0,0,0,10.63,2181.74,3.57,0,0,0,0,3.95,0,0,0,0,0,0,0,28.13,0,0,14.78,51.01,0,0,0.81,13.7,1.11,0,22.82,10.21,57.08,13.73,43.23,0
 24-34,0,0,0,1.91,677.59,4.22,0,1.01,0,0,0,0,3.07,0,0,0,0,0.69,6.95,0,0,2.58,64.46,1.57,0,0.63,0,5.46,0,0,0.86,4.07,42.14,39.28,0
 36-46,0,0,0,0.61,75.56,0.76,0,0,0,0,0,0,1.87,0,0,0,0,0,0.61,0,0,1.29,31.57,0,0,0,0,0,0,0,0,0,13.81,2.04,0
 48-58,0,0,0.86,0,118.29,4.32,0,0,0,1.2,0,0,0.46,0,0,0,0,7.04,2.71,0,0.39,3.77,9.92,0.96,0,0,0,1.03,0,0,0.37,0,5.14,6.02,0
 60-70,0,0,0,0,42.38,1.67,0,0,1.77,0,0,0,1.76,0,0,0,0,0.72,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,1.73,0
 72-82,0,0,0.89,0,119.81,11.75,0,0,0.66,1.16,0,0,0,2.8,0,0,0,5.49,0.7,0,0,0.64,11.55,0,0,0,0,0,0,0,0,0,1.56,1.54,0
 84-94,0,0,1.95,0,136.06,0.56,0,0,0,1.64,0,0.99,0,2.21,1.42,0.55,0,0.71,1.77,0,0.94,1.13,0,0,0,0,0,0.77,0,0,0.74,0,4.15,3.46,0
 96-106,0,0,0,0,227.46,9.11,0.64,3.98,0,19.22,0,0,1.52,0,0,0,0.69,1.26,1.58,0.71,0,0,16.91,0,0.93,0,0,0.73,0,0,0,0,0,6.17,1.22
108-118,0,0,6.17,0,245.1,10.68,0,0,0,0,1.3,0,0,1.68,0,0.7,0,0,7.49,0,0,6.14,3.71,0,0,0,0,1,0,0,0,0,0,4.14,0
120,0,0,0,0,269.36,20,0,0,0,5.79,0,0,0,3.39,0,0,0,1.67,3.93,0,1.83,1.09,32.01,0,0,0,0,22.5,0,0,0,0,0,12.8,0
