stage,epidermis,eye,gut,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,xanthophores
 14-21,0,0,0,0,0,0,0,1.24,0,0,1.98,0,0,2.45
 24-34,0,0.96,0,0.71,0.75,0,0,0.61,0,0,0,0,0,1.01
 36-46,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0
 48-58,0,2.75,0,0,0,0.39,0,0,0,0,0,2.11,0,0
 60-70,0,0,0,0,0,0,0,5.66,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,7.69,1.04,0.49,0,1.02,0,0
 84-94,1.25,0,0,0,0,0,0,2.4,0,0,0,0,2.85,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0
108-118,0,0,0,0,0,0,0,2.55,0,0,0,0,0,0
120,0,0,11.43,0,0,0,3.12,0,0,5.62,0,0,0,0
