stage,axial,blastomeres,epidermis,eye,hatching_gland,mucous,neural,paraxial_mesoderm,periderm
  3-4,13.98,20.68,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,9.5,7.63
  7-9,0,0,0,0,5.77,0,9.81,7.23,0
 48-58,0,0,0,0,0,2.38,0.62,0,0
 60-70,0,0,0,0,0,0,7.69,0,0
 72-82,0,0,0,0,0,0,2.22,0,0
 84-94,0,0,0.56,2.8,0,0,0,0,0
108-118,0,0,0.43,6.75,0,0,0,0,0
