stage,blastomeres,epidermis,eye,mesenchyme,mural_cell,neural,periderm,spinal_cord
  5-6,23.3,0,0,0,0,0,0,0
  7-9,7.09,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2.5
 24-34,0,0,0,0,0,10.98,0,1.77
 36-46,0,0,0,0,0,11.59,0,1.78
 48-58,0,0,1.17,0,0,23.81,4.47,2.4
 60-70,0,0,0,0,0,34.44,0,0
 72-82,0,0,5.58,0,0,26.7,0,6.56
 84-94,0,0.57,8.31,0,0,9.14,0,0
 96-106,0,0,0,0.58,0,24.07,0,0
108-118,0,0,11.09,0,5.28,16.82,0,0
120,0,1.43,0,0,0,111.08,0,0
