stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,19.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.85,0,0,0,0,1.07,0,0,0,0,0,0,0.95,0,0,0,0,0,0,1.54,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.69,0,1.17,0,4.67,0,1.38,2.28,0,0,0,2.46,1.77,0.78,0,0,0,0,8.61
 36-46,0,0,0,2.28,0,0,0,0,0,0,0,20.92,0,9.48,0.57,0,0,0,0,0,0,0,0,0,0,45.75
 48-58,0,0,0,4.1,0,0,0,0,0,0,1.68,14.43,0,10.79,16.45,0,0,0,0,0,0,13.3,0.84,0,0,63.73
 60-70,0,0,0,19.21,0,0.81,15.74,0,0,3.64,0.59,21.4,0,12.58,9.68,0,0,0.96,0,0,0,8.55,0,0,0,58.52
 72-82,0,0,0,22.82,0,0.81,48.79,0,0,2.73,0.6,55.99,6.17,7.95,21.9,0,0,3.46,0,0,0,1.77,1.02,0.72,0.76,37.51
 84-94,0,0.63,0.55,53.29,0,0,54.27,0,0,3.26,5.82,42.92,0,9.81,4.86,3.42,0,12.98,2.36,0,0,4.98,3.42,0.83,0,58.59
 96-106,0,0,0,26.22,1.72,0,39.84,0,0,10.2,0,56.27,0,6.54,17.89,0,0,15.77,0,0,0,0,6.4,2.63,0.68,121.97
108-118,0,0.43,0,24.18,0,4.41,38.64,0,1.42,19.95,0,30.28,1.7,3.97,27.92,0,2.63,11.06,0,0,0,0,3.1,0.59,0.82,172.37
120,0,0,0,20.99,0,0,50.84,0,0,16.36,3.89,35.01,0,9.29,33.37,0,0,14.87,0,0,0,4.02,14.39,0,0,103.16
