stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.83,465.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,62.5,485.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.91,30.22,0,53.42,0,0,0,32.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.94,18.38,0,0,86.94,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.24,0,0,0,12.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.89,13.83,0,0,30.68,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,15.78,4.64,0,5.59,0,0,1.09,0,0,0,0,0,0,0,0,0,4.85,0,0,8.11,106.22,0.84,0,0.95,2.18,0,1.19,6.67,3.62,6.49,29.12,0,0,1.1,0,0
 24-34,0,0,0,0,13.01,0.69,0,28.92,0,0.99,2.74,0,0,1,0.6,0,1.5,0,0,0,32.35,0.61,0,9.38,345.82,0,0,2.85,0,0,1.07,0,0,1.29,77.21,0,0,19.03,0,3.2
 36-46,0,0,0,0,3.76,3.14,0,72.42,0,2.06,17.19,0.56,0,1.4,0,0,0,0,1.69,0,20.3,0,0.72,5.83,360.54,0,1.78,0.6,0,0,3.2,0,0,0,84.26,0,1.37,10.86,0,0
 48-58,0,0,0,0,2.29,0,0,81.72,0.93,1.35,25.6,0,0.54,0.48,0,0,0.84,0.41,0,1.24,29.86,0,0,2.86,364.11,0,1.48,0.82,0,0,2.22,0,0,0,86.84,0,0.51,3.92,0,0
 60-70,0,0,0,0,14.66,3.06,0,119.47,1.01,0.6,5.39,0,0.78,0,1.49,0.67,2.52,0,0,0,41.73,0,1.92,0.83,228.87,0,0,1.46,0,0,0,0,0,0,42.62,0,0,5.7,1.13,0.96
 72-82,0,0,0,0,5.84,0.65,0,97.75,0,0,13.5,0.64,0,0.51,1.03,0,0,0,0,0,50.01,1.13,0,1.6,395.96,0,0,2.84,0,0,0.58,0,0,0,22.9,1.01,0,9.79,0,0
 84-94,0,0,0,0,3.1,1.34,0,75.76,1.4,0.83,5.78,0,0,0,0,0,0,0.86,0,0,50.21,8.94,0.58,3.67,152.1,0,0,0,0,1.65,0.56,0,0,0,28.86,0,1.7,4.22,0,0
 96-106,0,0,1.19,0,1.43,9.83,3.58,44.73,0,1.44,9.86,0.62,0,0,0.8,0.66,0,0,0,0,18.04,1.41,0,1.25,153.13,0,0,0,0,3.28,1.15,0,0,0,11.21,0,0.76,5.47,0,0
108-118,0,0,0,0,5.09,0,0,65.45,1.14,3.43,15.74,0,0,0,0,0,3.54,0,0,0,43.2,3.95,5.21,3.77,113.98,0.41,2.11,0.44,0,1.55,1.87,0,0,0,8.88,1.29,0,3.25,5.03,0.99
120,0,0,0,0,2.48,0,0,44.86,1.35,0,31.36,1.14,0,0,1.49,0,0,0,0,0,26.76,1.05,5.11,2.4,199.96,0,0,0,0,0,0,0,0,0,12.05,0,0,15.62,0,0
