stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,45.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.56,3.59,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,16.54,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.16,0,0,0.81,0,0,0,0,0,688.64,0,0,0,0,0,172.01,0,0,5.72,72.41,0,0,0,63.75,0,0,47.43,0,0,2.21,3.68,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,614.15,0,0,0,0,0,24.88,0,0,29.3,25.7,0,0,0,0,0,10.69,0,0.74,0,0,0.67,0,0,0,0
 36-46,0,0,0,0,0,0,1.36,0,0,0,0,457.78,0,0,0,0,0,89.14,0,0,22.43,22.5,0,0,0,131.29,0,0,48.21,0,7.71,0,1.14,0,0,0,0
 48-58,0,0,0,0,0,12.75,144.7,0,0.78,7.44,0,162.08,0,0,0,0,0,16.8,0,0,145.49,186.83,0,2.18,0,0,0,0,0,0,65.12,0,22.24,0,1.48,0,0
 60-70,0,0,4.51,0,0,40.31,446,0,0,0.93,0,318.79,6.93,0,0,0,0,6.55,0,10.43,212.49,218.23,6.71,0,0,0,0,3.99,0,0,170.33,0,8.67,0,0,0,0
 72-82,0,0,11.66,1.4,0,49.7,537.38,0,7.44,11.8,0,75.05,1.07,0,0,0,1.6,15.83,0,3.62,69.75,225.91,2.85,0,0,0,0,3.74,0,0,7.97,0,10.24,0,0.61,0.72,0
 84-94,0,0,0.89,4.49,0,57.09,1104.65,0,1.51,7.45,0,93.42,0,0,0,0,0,17.07,0,0,32.32,72,0,0,0,0,0.83,2.55,0,0,29.78,0,0,2.89,8.06,7.81,1.25
 96-106,0,0,24.26,6.3,0,32.28,1040.47,19.56,0,7.07,3.36,303.49,0,0,0,0,1.98,15.64,0,0,29.44,79.96,0,0.75,0,0,0,7.33,0,0,58.37,0,4.39,0,2.52,0,0
108-118,0,0,9.9,4.95,0.82,36.58,1026.04,0,0.44,9.45,0.64,275.83,0,0.59,0,3.03,7.2,16.57,2.3,0,7.21,121.86,0,0,0,0,0,8.63,0,0,15.96,0,4.92,0,0,0,0
120,0,0,77.53,13.6,0,31.7,915.06,0,0,4.45,0,257.11,0,0,7.44,0,0,50.03,0,0,3.37,117.34,3.13,1.99,2.28,0,13.12,1.01,0,0,3.03,0,0,0,0,0,0
