stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.67,0,0,0,0,0,0,0,0
  5-6,104.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1641.6,0,0,0,0,0,0,0,0
  7-9,0,3.41,0,0,14.51,0,0,0,0,0,0,0,0,0,0,0,0,0,142.16,0,0,0,41.3,521.4,0,0,0,0,0,0,0,0
 10-12,11.71,49.24,0,0,6.53,0,0,0,0,0,0,0,0,0,0,0,0,0,269.72,0,0,0,29.58,190.5,0,0,0,0,0,0,0,0
 14-21,0,1.29,6.74,1.44,0.84,0,0,0,0,0,0,0,1.46,0,3.27,1.74,0,0,14.13,0.97,0,0,0,653.04,1.66,0,0,0,2,0,0,0
 24-34,0,0,6.91,0,1.78,0,1.55,0,0,0,6.57,0,0,0,0.96,6.77,0,0,54.66,0.6,0,0,0,1356.49,0,0,0,0.9,2.61,0,2.75,0
 36-46,0,0,17.94,0,0.7,3.66,4.85,0,0,2.5,2.68,0.58,0,0,2.99,10.43,0,0.65,33.35,0,0,0,0,1509.63,0,1.42,0,0,17.08,0,0,7.56
 48-58,0,0,14.86,0,9.83,9.78,4.33,0,0,1.15,0,0,0,0,4.47,8.36,0,3.55,52.39,0,0,0,0,853.52,0,0,0,0,9.12,0,0,0
 60-70,0,0,16.61,0,5.1,14.13,0.81,0,0,0,0,1.52,0,0,0.94,2.51,0,0,80.17,0,0.99,0,0,923.04,0,0,0,0,8.02,0,0,0
 72-82,0,0,37.82,0,24.13,5.1,3.11,0,0,0,0,3.2,0,0.87,3.29,2.46,0,1.27,33.42,0,0,0.56,0,649.54,0,0,0,0,0,2.33,0,0
 84-94,0,0,47.15,0,22.48,28.76,10.18,0,0.77,0,0,9.3,0,0,0,5.66,1.94,0,64.94,0,0,0,0,1683.23,0,0,0,0,4.01,1.3,0,0
 96-106,0,0,34.07,0,9.59,22.97,4.32,0.72,1.06,0,0,8.08,1.03,0,0,8.86,0,0,42.47,0,0,0,0,1316.44,0,0.9,0.6,0,7.93,0,0,0
108-118,0,0,44.83,4.89,3.25,34.71,1.81,1.08,0,0,0,12.26,0,0,6.2,12.2,0,0,23.47,0,0,0,0,939.77,0,0,0,0,0,0,0.77,0
120,0,0,25.42,2.59,22.86,31.03,5.87,0,0,0,3.35,2.88,0,0,0,8.63,0,0,25.22,0,0,0,0,667.83,0,0,0,0,0,0,0,0
