stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,51.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.99,0,0,0,0,0,0,0,0,0,0
  5-6,35.18,123.45,0,13.2,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0,9.57,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,68.15,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.11,17.43,0,0,57.78,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,24.29,0,118.38,0,13.94,14.26,0,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,1013.96,58.07,0,0,154.28,0,0,0,396.81,0,3.24,0,0,0,0,0
 14-21,0,0,0,3.4,140.79,16.15,3.54,0,0.83,0,411.15,7.93,0,10.97,0,0,0,0,0,0,72.6,11.25,327.6,2.73,2.62,26.72,7.84,2.83,0,0.96,1077.16,3.19,17.62,1735.35,0,0,0,0
 24-34,0,0,0,11.92,15.41,0,7.07,0,0,0,319.98,2.72,0,0,0,0,0,4.46,2.8,0,16.05,2.68,287.93,2.32,26.97,4.8,0,0,0,0,236.46,0.98,6.35,751.88,0,0,2.7,0.77
 36-46,0,0,0,0,18.57,0,26.11,0,0,4.14,323.54,7.4,0,0.65,0,0,0,4.54,1.14,0,2.56,4.49,507.13,1.47,30.26,1.57,0,0,0,0,120.72,19.3,0,775.34,0,0,0,0
 48-58,0,0,0,0,8.19,0,10.4,0,0.54,0,247.29,6.05,0,0,0,0,0,3.68,0.69,0,2.3,1.15,182.54,0,42.3,7.47,0,0,0,0,43.62,2.21,0,479.17,0,0,0,0.47
 60-70,0,0,0,0,0.93,0,13.56,0,0,2.71,321.71,0.63,0,0,0,0,0,14.88,1.41,0,8.79,0,92.64,0,56.48,19.19,0,0,0,0,26.9,0,0,274.59,0,0,0,0
 72-82,0,0,0.91,0,0,0,27.79,0,0,0,187.89,5.61,0,0,0.54,0,0,18.91,0,0,0.73,0.53,63.43,0.73,44.78,13.09,0,0,0,0,11.64,0,0,126.39,1.16,0,0,1.41
 84-94,0,0,2.36,3.96,0.69,0,16.12,0,0,2.25,150.31,2.14,0,0,0,0,0,16.13,0,0,6.13,0,83.2,0,90.17,23.14,0,0,1.4,0,38.58,0,0,144.89,0,0,0,0
 96-106,0,0,2.09,2.87,0.82,0,7.37,0,1.1,0,171.14,1.11,0,0,0.69,0,1.03,28.45,3.35,0.58,10.46,4.14,29.86,0,76.52,15.5,0,1.75,0,0,33.34,0,0,107.66,0,0,0,0
108-118,0,0,2.31,2.1,2.85,2.45,8.62,0.73,4.75,0,145.19,0,0,0,0,0,0.52,23.34,0,0,0,0,84.05,0,51.97,14.95,0,0,0,0,36.25,0,0,99.12,2.24,0,0,0
120,0,0,3.73,6.35,2.73,0,1.56,0,0,0,188.44,0,0,0,0,1.63,0,23.1,3.16,0,2.33,0,28.33,0,67.19,61.82,0,3,0,0,26.99,0,0,113.85,0,6.07,1.14,0
