stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,9.89,1296.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.12,0,0,0,0,0,0,0
  5-6,41.84,681.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2,0,0,0,0,0,56.77,0,0,0,0,0,0,0
  7-9,9.54,10.58,0,0,5.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.56,43.3,0,0,9.83,0,124.45,5.28,0,0,0,0,0,0
 10-12,5.75,0,0,0,16.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.92,63.12,0,0,70.24,0,98.55,0,0,0,0,0,0,0
 14-21,0,0,13.09,11.63,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,1.87,0,0,5.09,8.32,0,0,0,0,167.33,0,1.08,1.2,0,0,3.58,0
 24-34,0,0,7.75,1.63,0.96,0,0.73,0,0,0,0.76,0,34.84,0,0,0,0,4.73,25.89,0,0,86.1,5.72,5.26,0,0,0,214.23,0,0,7.35,0,0,8.24,0
 36-46,0,0,7.22,1.93,3.79,0,1.62,0,2.79,0,0,0,17.43,0,0.57,0,0,2.92,17.22,4.91,2.78,215.82,18.52,5.02,0,0,0,139.95,0,0,17.74,0,0,0,6.2
 48-58,0,0,19.05,3.72,13.98,0.7,6.17,1.96,7.37,0.54,0,0,13.42,0,2.81,0,0,3.63,9.05,2.9,0,165.52,3.03,10.45,0,0,0.91,102.96,0,0,17.1,0,0.4,0,5.49
 60-70,0,0,12.15,4.87,211.74,0,11.38,0,1.75,0,0,0.78,1.77,0,0.59,0,0,43.92,13.46,1.27,2,209.53,2.05,1.74,3.85,0.81,37.74,63.91,0,0,5.97,3.97,0,0,5.12
 72-82,0,0,15.8,59.26,474.51,0,17.5,0.62,6.12,2.19,0,0,10.07,3.04,2.09,0,0,103.63,22.34,0.74,0,293.19,1.26,2.81,6.85,0,9,11.55,0,0,14.18,42.91,0.87,0,36.84
 84-94,0.62,0,46.29,70.16,221.02,0,15.48,0,15.29,8.36,0,0,8.73,0,1.88,0,0,58.96,25.83,1.93,0,228.75,0.89,6.05,2.91,0,11.91,31.3,0,0,0,98.49,1.27,0.59,29.36
 96-106,0,0,30.18,94.2,346.72,3.09,13.45,0,12.9,9.33,0,0,22.2,0,4.35,8.31,0,65.71,34.12,8.02,9.96,263.18,0,17.89,0.73,0,10.22,11.31,0,0,6.02,188.59,0.9,0,13.26
108-118,0,0,55.39,74.27,247.22,0,8.69,3.52,9.82,3.05,0,2.43,21.58,9.6,2.71,0,0.72,52.8,40.64,6.79,0,283.71,5.06,7.8,0,0,74.96,18.92,0,0,3.87,139.81,1.88,0,10.96
120,0,0,37.14,69.81,115.3,0,4.49,0,2.21,9.56,0,0,12.18,3.48,0,0,0,4.99,9.08,0,18.48,424.5,3.06,20.04,14.75,0,22.89,3.56,0,0,0,74.93,0,0,10.35
