stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.41,16.43,218.61,106.28,0,225.32,0,0.88,0,28.42,3.13,9.09,0,0,3.13,0,1.49,6.82,3.89,123.5,0,0,89.42,1721.84,35.69,3.05,12.96,46.01,0,23.63,1.3,236.34,9.73,20.13,318.31,405.24,0,0,8.09,0,11.52
 24-34,1.76,1.29,21.6,103.16,33.32,0,496.04,3.72,10.45,2.04,40.12,7.94,1.43,6.01,17.51,13.24,1.05,16.28,12.73,16.82,298.48,2.29,1.21,102.01,2893.6,7.26,10.76,29.86,1,0,144.43,0,1.58,12.16,5.17,115.2,481.12,0,0,74,0,24.18
 36-46,0,0,1.13,52.18,11.16,0,544.06,30.12,7.11,9.93,92.31,10.68,0,5.61,14.11,7.65,7.31,6.35,37.28,46.67,252.34,10.14,6.7,70.76,2444.09,21.7,6.26,18.75,0,0,227.06,0.73,1.05,13.82,25.75,4.29,462.86,0,1.04,41.44,0,17.48
 48-58,0.55,0.44,0.6,80.72,7.42,0,718.85,27.64,32.33,22.02,158.87,18.74,6.08,5.6,16.58,1.74,9.76,4.7,30.9,3.26,246.35,4.14,9.72,61.43,1738.91,3.83,12.12,18.54,0,0,54.16,1.12,0,1.4,5.87,0,319.13,0,1.92,42.02,0,27.45
 60-70,0,0,2.79,127.91,9.68,0,820.98,13.1,24.4,19.12,185.09,41.49,0.78,0.6,32.38,13.92,21.11,7.74,31.48,1.67,297.79,9.23,20.68,77.14,1414.7,9.54,4.36,23.49,0,2.41,125.1,1.49,0,7.2,2.59,0,155.16,0,0.67,25.66,0,27.38
 72-82,0,1.7,0,47.36,56.64,1.71,653.68,7.64,6.26,24.15,146.22,41.36,3.51,12.17,22.71,4.38,14.98,7.33,20.17,2.82,323.11,5.75,13.82,54.68,949.26,1,12.18,10.17,0,2.66,85.01,0,0,3.62,1.54,0,98.16,0.58,11.55,56.87,6.18,27.8
 84-94,0,5.63,0,79.44,64.97,3.26,388.8,10.12,9.38,17.41,128.91,20.86,8.07,7.59,26.53,11.79,7.88,4.12,17.21,9.32,260.95,3.38,12.41,46.76,666.68,2.76,9.26,10.74,0,3.78,225.58,0,0,9.55,4.8,0,60.19,2.52,6.56,48.42,3.62,12.5
 96-106,0,3.67,0,56.08,63.29,9.99,360.55,0,6.97,4.44,115.69,24.05,0,2.33,28.46,8.52,5.04,7.32,3.39,5.24,225.5,9.18,9.61,46.98,412.85,2.47,13.04,11.4,0,5.38,268.84,0,0,4.31,3.94,0,49.85,5.38,7.64,27.63,4.03,8.03
108-118,0,3.06,1.19,114.14,60.04,41,397.51,7.6,15.84,22.51,120.41,20.88,0,3.81,20.29,20.32,11.49,10.44,20.37,4.9,307.82,11.86,9.38,52.4,655.67,3.57,8.8,21.24,0,1.8,223.07,0,0,4.79,0.53,0,19.27,7.16,5.53,29.91,2.39,13.52
120,0,0,0,374.92,83.72,19.43,421.06,14.93,40.72,17.52,238.3,51.91,0,0,70.92,21.55,11.52,20.52,13.86,6.59,435.08,7.04,38.54,152.46,1179.69,11.34,32.37,19.83,0,23.47,271.23,0,1.12,9,19.41,0,22.87,2.24,3.84,82.37,0,0
